datasetPID,dataverseName,dataverseUrl,datasetPIDUrl,numberOfVersions,numberOfMajorVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,license,termsOfUseExists,termsOfAccessExists,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,fileTagsExist,uniqueContentTypes,ingestedTabFilesCount,uningestedTabFilesCount,restrictedFilesCount
doi:10.7910/DVN/JWHVOC,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/JWHVOC,1,1,2020-05-08 18:19:41+00:00,2020-05-08 18:19:41+00:00,173,173,250,True,NONE,True,True,0,0,citation,1,1,False,application/zip,0,0,1
doi:10.7910/DVN/EAJMTI,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/EAJMTI,3,2,2020-09-16 23:52:31+00:00,2020-09-18 13:47:56+00:00,42,40,1055,True,NONE,True,True,0,0,citation,848,848,False,"text/csv,text/plain",0,135,848
doi:10.7910/DVN/WVPFLU,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/WVPFLU,2,1,2020-09-16 21:40:23+00:00,2020-09-16 21:58:14+00:00,42,42,343,True,NONE,True,True,0,0,citation,25,25,False,application/octet-stream,0,0,25
doi:10.7910/DVN/4YHTPU,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/4YHTPU,13,8,2013-05-13 00:00:00+00:00,2020-09-15 20:44:59+00:00,2726,43,1432,True,NONE,True,True,0,0,"citation,geospatial,socialscience",28,0,True,"application/msword,application/pdf,application/vnd.ms-excel,text/plain; charset=US-ASCII,text/tab-separated-values",9,0,23
doi:10.7910/DVN/K8BSDU,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/K8BSDU,4,2,2016-03-29 14:27:42+00:00,2017-09-19 14:56:41+00:00,1674,1135,670,True,NONE,True,True,0,0,"citation,geospatial,socialscience",13,0,True,"application/zip,text/plain",0,0,13
doi:10.7910/DVN/FWUSJT,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/FWUSJT,5,1,2017-10-27 16:49:09+00:00,2020-07-14 23:02:56+00:00,1097,106,27,True,NONE,True,True,0,0,citation,10,1,False,text/plain,0,0,10
doi:10.7910/DVN/WVXD5D,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/WVXD5D,2,1,2018-01-09 21:51:01+00:00,2020-07-14 19:23:33+00:00,1023,106,27,True,NONE,True,True,0,0,citation,8,0,False,text/plain,0,0,8
doi:10.7910/DVN/V2DQAR,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/V2DQAR,3,2,2018-01-09 23:04:06+00:00,2020-07-14 18:01:45+00:00,1023,106,27,True,NONE,True,True,0,0,citation,3,0,False,application/zip,0,0,3
doi:10.7910/DVN/XO8KUF,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/XO8KUF,5,2,2018-04-11 23:40:19+00:00,2020-07-14 17:55:43+00:00,931,106,27,True,NONE,True,True,0,0,citation,2,0,False,application/zip,0,0,2
doi:10.7910/DVN/IEDQEW,MIT Libraries Dataverse,https://dataverse.harvard.edu/dataverse/mit,https://doi.org/10.7910/DVN/IEDQEW,3,1,2017-10-26 19:25:39+00:00,2020-07-14 17:49:58+00:00,1098,106,27,True,NONE,True,True,0,0,citation,8,0,False,text/plain,0,0,8
