,datasetPID,datasetPIDUrl,numberOfVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,license,termsExist,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,uniqueContentTypes,uningestedTabFilesCount,restrictedFilesCount
0,doi:10.7910/DVN/TUSXIG,https://doi.org/10.7910/DVN/TUSXIG,1,2020-10-26 14:42:27+00:00,2020-10-26 14:42:27+00:00,1,1,990,NONE,False,1,0,"citation,journal",29,29,"application/dbf,application/octet-stream,application/pdf,application/prj,application/shp,application/shx,image/tiff,text/plain,text/xml,type/x-r-syntax",0,0
1,doi:10.7910/DVN/MQRHUZ,https://doi.org/10.7910/DVN/MQRHUZ,1,2020-10-23 12:43:13+00:00,2020-10-23 12:43:13+00:00,4,4,919,NONE,False,1,0,"citation,journal",4,0,"application/gzip,application/pdf,text/plain,type/x-r-syntax",0,0
2,doi:10.7910/DVN/B8TWK2,https://doi.org/10.7910/DVN/B8TWK2,1,2020-10-12 14:24:43+00:00,2020-10-12 14:24:43+00:00,15,15,1074,NONE,False,1,0,"citation,geospatial,journal",14,14,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
3,doi:10.7910/DVN/FXI5ZO,https://doi.org/10.7910/DVN/FXI5ZO,1,2020-10-08 13:45:13+00:00,2020-10-08 13:45:13+00:00,19,19,838,NONE,False,1,0,"citation,geospatial,journal",17,17,"application/octet-stream,application/pdf,application/x-rar,application/x-tex,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
4,doi:10.7910/DVN/ENVKCB,https://doi.org/10.7910/DVN/ENVKCB,1,2020-09-29 14:49:52+00:00,2020-09-29 14:49:52+00:00,28,28,1020,NONE,False,1,0,"citation,geospatial,journal",5,4,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
5,doi:10.7910/DVN/33K3EF,https://doi.org/10.7910/DVN/33K3EF,1,2020-09-23 15:31:08+00:00,2020-09-23 15:31:08+00:00,34,34,1045,NONE,False,1,0,"citation,journal",31,17,"application/pdf,application/x-stata-syntax,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",1,0
6,doi:10.7910/DVN/4NEPI7,https://doi.org/10.7910/DVN/4NEPI7,1,2020-09-23 13:38:49+00:00,2020-09-23 13:38:49+00:00,34,34,1062,NONE,False,1,0,"citation,journal",11,11,"application/pdf,application/x-stata-syntax,text/plain,text/tab-separated-values",0,0
7,doi:10.7910/DVN/AV8PLT,https://doi.org/10.7910/DVN/AV8PLT,1,2020-09-18 16:36:15+00:00,2020-09-18 16:36:15+00:00,39,39,1024,NONE,False,1,0,"citation,geospatial,journal",31,31,"application/gzip,application/pdf,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
8,doi:10.7910/DVN/RJKIUP,https://doi.org/10.7910/DVN/RJKIUP,1,2020-09-18 15:19:24+00:00,2020-09-18 15:19:24+00:00,39,39,1013,NONE,False,1,0,"citation,journal",8,0,"application/pdf,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",1,0
9,doi:10.7910/DVN/8LKROK,https://doi.org/10.7910/DVN/8LKROK,1,2020-09-10 17:22:13+00:00,2020-09-10 17:22:13+00:00,47,47,972,NONE,False,1,0,"citation,geospatial,journal",7,0,"application/pdf,application/x-stata-ado,application/x-stata-syntax,text/plain",0,0
10,doi:10.7910/DVN/S3HACJ,https://doi.org/10.7910/DVN/S3HACJ,1,2020-08-27 19:34:12+00:00,2020-08-27 19:34:12+00:00,61,61,765,NONE,False,1,0,"citation,journal",28,28,"application/dbf,application/gzip,application/pdf,application/shp,application/shx,text/plain,text/tab-separated-values,type/x-r-syntax",0,0
11,doi:10.7910/DVN/ZWKCPA,https://doi.org/10.7910/DVN/ZWKCPA,1,2020-08-26 14:51:40+00:00,2020-08-26 14:51:40+00:00,62,62,1071,NONE,False,1,0,"citation,journal",13,13,"application/pdf,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",1,0
12,doi:10.7910/DVN/FITPUI,https://doi.org/10.7910/DVN/FITPUI,1,2020-08-24 14:53:44+00:00,2020-08-24 14:53:44+00:00,64,64,1154,NONE,False,1,0,"citation,journal",88,88,"application/octet-stream,application/pdf,application/x-stata-ado,application/x-stata-syntax,text/csv,text/plain,text/tab-separated-values,type/x-r-syntax",1,0
13,doi:10.7910/DVN/79RI4R,https://doi.org/10.7910/DVN/79RI4R,1,2020-08-14 18:13:01+00:00,2020-08-14 18:13:01+00:00,74,74,855,NONE,False,1,0,"citation,journal",213,0,"application/gzip,application/msword,application/pdf,application/x-stata-syntax,image/png,text/csv,text/html,text/plain,text/tab-separated-values,type/x-r-syntax",2,0
14,doi:10.7910/DVN/R3GZZW,https://doi.org/10.7910/DVN/R3GZZW,3,2017-07-05 13:25:21+00:00,2020-08-07 18:40:57+00:00,1210,81,1310,CC0,True,1,1,"citation,journal",47,47,"application/pdf,application/x-stata-syntax,text/tab-separated-values,type/x-r-syntax",0,0
