"authenticationproviderid","affiliation","account_create_date"
"builtin","","2018-09-30 09:30:02.59"
"shib","Harvard University","2018-09-30 09:32:38.608"
"shib","Harvard University","2018-09-30 13:07:29.562"
"builtin","National University of Science and Technology, Zimbabwe","2018-09-30 18:14:53.38"
"builtin","American University of Beirut","2018-10-01 04:04:58.927"
"builtin","Inland Norway University of Applied Sciences","2018-10-01 06:59:29.909"
"builtin","University of Toronto MD/PhD Program","2018-10-01 14:57:31.012"
"builtin","LSU","2018-10-01 17:15:08.841"
"orcid","University of Georgia","2018-10-01 18:11:01.226"
"builtin","","2018-10-02 01:17:46.907"
"builtin","Cracow University of Economics","2018-10-02 04:21:39.128"
"builtin","Jaime Kulak and Ivonete Kulak","2018-10-02 10:56:56.808"
"builtin","","2018-10-02 12:11:48.246"
"builtin","University of Florida","2018-10-02 12:53:37.561"
"builtin","","2018-10-03 01:00:03.314"
"builtin","EDP Sciences","2018-10-03 12:35:26.346"
"builtin","Colorado State University","2018-10-03 16:18:51.557"
"builtin","","2018-10-04 00:36:55.421"
"builtin","","2018-10-04 02:53:47.604"
"github","","2018-10-04 09:30:38.951"
"builtin","Tufts University","2018-10-04 12:26:48.548"
"orcid","University of Michigan Ross School of Business","2018-10-04 15:24:53.923"
"builtin","Trinity College Dublin","2018-10-04 16:15:55.003"
"builtin","","2018-10-05 06:00:54.048"
"builtin","Leiden University","2018-10-05 10:24:21.723"
"builtin","Universidade Federal de Pernambuco","2018-10-05 15:12:40.934"
"builtin","Shahid Beheshti University of Medical Sciences","2018-10-07 01:36:18.758"
"shib","Indiana University","2018-10-07 23:56:50.91"
"builtin","National Institute of Public Health, Mexico","2018-10-08 02:18:45.944"
"builtin","Student","2018-10-08 03:33:45.474"
"builtin","University of Basel","2018-10-08 08:25:14.5"
"builtin","University of Delaware","2018-10-08 11:37:25.026"
"builtin","Noble Research Institute","2018-10-08 14:17:34.468"
"builtin","","2018-10-08 15:36:51.079"
"builtin","Universidade Federal do Rio Grande","2018-10-08 15:42:37.585"
"builtin","The University of Texas at El Paso","2018-10-08 19:03:25.168"
"builtin","MIT","2018-10-09 11:07:10.268"
"builtin","Africabio Enterprises, Inc.","2018-10-09 13:30:50.29"
"builtin","Western Washington University","2018-10-09 13:41:22.597"
"builtin","Princeton University","2018-10-09 18:13:00.586"
"google","","2018-10-10 12:09:13.851"
"builtin","The Graduate Institute ","2018-10-10 12:43:36.54"
"builtin","University of Montana","2018-10-10 17:53:45.669"
"builtin","University of New South Wales","2018-10-11 07:04:32.578"
"builtin","","2018-10-11 08:58:58.412"
"builtin","Memorial University of Newfoundland","2018-10-12 08:41:18.2"
"builtin","","2018-10-12 08:55:27.124"
"builtin","","2018-10-12 10:40:53.991"
"builtin","National Institute of Public Health","2018-10-12 13:50:55.523"
"builtin","Duke University","2018-10-12 15:33:11.873"
"builtin","Wildlife Conservation Society","2018-10-15 11:27:57.367"
"shib","Massachusetts Institute of Technology","2018-10-15 13:16:00.515"
"builtin","Arizona State University ","2018-10-15 14:08:32.333"
"builtin","Penn State University","2018-10-15 15:14:57.922"
"shib","Colorado School of Mines","2018-10-16 14:31:57.774"
"builtin","Rice University","2018-10-16 22:48:18.14"
"builtin","Shaanxi Normal University ","2018-10-17 04:18:36.511"
"builtin","","2018-10-17 08:25:42.346"
"builtin","University of Oxford","2018-10-17 12:43:10.334"
"builtin","Tampa General Hospital","2018-10-17 22:41:53.295"
"builtin","Qatar University","2018-10-18 00:51:06.012"
"builtin","","2018-10-18 05:18:00.845"
"orcid","University of Health and Allied Sciences","2018-10-18 06:36:29.005"
"builtin","University of Essex","2018-10-18 09:45:58.694"
"builtin","","2018-10-18 15:24:00.185"
"builtin","Colby College","2018-10-19 09:58:36.039"
"shib","University of Michigan","2018-10-19 16:16:14.963"
"builtin","Nanjing University","2018-10-22 03:36:21.964"
"builtin","CIESS Econometrica","2018-10-22 09:41:10.829"
"orcid","","2018-10-22 10:25:38.958"
"orcid","Texas A&M University","2018-10-22 15:45:19.531"
"builtin","","2018-10-22 15:57:53.436"
"builtin","Bank of Spain","2018-10-22 16:43:40.215"
"shib","EPFL - EPF Lausanne","2018-10-23 02:07:36.834"
"builtin","Indonesian Institute of Sciences (LIPI)","2018-10-23 05:07:26.586"
"orcid","Klinikum Nuremberg & Paracelsus Medical University Nuremberg","2018-10-23 10:04:53.802"
"builtin","University of Wisconsin - La Crosse","2018-10-23 12:08:42.769"
"orcid","University of Pittsburgh","2018-10-23 14:34:22.038"
"builtin","Pomona College","2018-10-23 18:18:47.411"
"builtin","George Washington University","2018-10-23 23:02:51.453"
"builtin","","2018-10-24 10:50:46.038"
"builtin","Boston University","2018-10-24 10:52:26.874"
"builtin","","2018-10-24 12:16:43.14"
"builtin","New College of Florida","2018-10-24 13:52:37.849"
"builtin","University of Oklahoma - Health Sciences Center","2018-10-24 14:52:26.041"
"shib","New York University","2018-10-24 15:28:10.734"
"orcid","Texas Southern University","2018-10-25 02:16:07.248"
"orcid","KU Leuven","2018-10-25 06:46:50.574"
"builtin","","2018-10-25 09:26:22.798"
