Summary,nds,ifpri,mit,
Has description,FALSE,TRUE,TRUE,
Has tagline,TRUE,TRUE,TRUE,
Number of search facets,5,7,9,
Metadatablocks enabled,0,2,2,
Dataset count,184,554,85,
Versions (avg # of major and minor versions),1.14,2.82,3.55,
Major versions (average #),1.01,1.58,1.71,
Description length (avg # of characters),145.47,1446.38,339.08,
CC0 datasets (% of total datasets),0%,12.46%,7.06%,
Age of datasets (average),2663.3,1442.79,1527.98,
No terms (% of datasets with no terms metadata),0%,0.18%,4.71%,
Related pub metadata (% of datasets with rel pub metadata),0.54%,49.28%,0%,
Related pub PIDs (% of datasets with rel pub PIDs),0%,27.26%,0%,
Metadatablocks used (list),"citation,geospatial,socialscience","citation,geospatial,socialscience","citation,geospatial,socialscience",
No files (# of datasets with no files),3,103,5,
File descriptions (% of datasets with 1 or more file descriptions),31.52%,43.86%,41.18%,
File tags (% of datasets with 1 or more file tags),50%,73.1%,37.65%,
Unique file types (count),17,30,26,
Tabular data (% of datasets with tabular data) ,31.49%,67.63%,55%,
Tabular data ingest successes (% of datasets with tabular data that has been ingested),94.74%,82.3%,72.73%,
Public files (% of unrestricted files),1.01%,86.57%,2.7%,
,,,,
,,,,
,,,,
,,,,
