pid,relation-type,count
doi=10.5064/F6GXXBVD,total-dataset-investigations-regular,2
doi=10.5064/F6GXXBVD,total-dataset-requests-regular,2
doi=10.5064/F6GXXBVD,unique-dataset-investigations-regular,2
doi=10.5064/F6GXXBVD,unique-dataset-requests-regular,2
doi=10.5064/F6GXXBVD,total-dataset-investigations-machine,1
doi=10.5064/F6GXXBVD,unique-dataset-investigations-machine,1
doi=10.5064/F6WBLX4I,total-dataset-investigations-regular,3
doi=10.5064/F6WBLX4I,total-dataset-requests-regular,3
doi=10.5064/F6WBLX4I,unique-dataset-investigations-regular,3
doi=10.5064/F6WBLX4I,unique-dataset-requests-regular,3
doi=10.5064/F6WBLX4I,total-dataset-investigations-machine,1
doi=10.5064/F6WBLX4I,unique-dataset-investigations-machine,1
doi=10.5064/F6MBCJ8M,total-dataset-investigations-regular,3
doi=10.5064/F6MBCJ8M,total-dataset-requests-regular,3
doi=10.5064/F6MBCJ8M,unique-dataset-investigations-regular,3
doi=10.5064/F6MBCJ8M,unique-dataset-requests-regular,3
doi=10.5064/F6MBCJ8M,is-authored-by,2
doi=10.5064/F6MBCJ8M,total-dataset-investigations-machine,1
doi=10.5064/F6MBCJ8M,unique-dataset-investigations-machine,1
doi=10.5064/F6D0YBEA,total-dataset-investigations-regular,4
doi=10.5064/F6D0YBEA,total-dataset-requests-regular,4
doi=10.5064/F6D0YBEA,unique-dataset-investigations-regular,4
doi=10.5064/F6D0YBEA,unique-dataset-requests-regular,4
doi=10.5064/F6D0YBEA,total-dataset-investigations-machine,1
doi=10.5064/F6D0YBEA,unique-dataset-investigations-machine,1
doi=10.5064/F6LBYMQO,total-dataset-investigations-regular,5
doi=10.5064/F6LBYMQO,total-dataset-requests-regular,5
doi=10.5064/F6LBYMQO,unique-dataset-investigations-regular,5
doi=10.5064/F6LBYMQO,unique-dataset-requests-regular,5
doi=10.5064/F6LBYMQO,total-dataset-investigations-machine,3
doi=10.5064/F6LBYMQO,unique-dataset-investigations-machine,3
doi=10.5064/F6AC1QAF,total-dataset-investigations-regular,6
doi=10.5064/F6AC1QAF,unique-dataset-investigations-regular,6
doi=10.5064/F6AC1QAF,total-dataset-requests-regular,5
doi=10.5064/F6AC1QAF,unique-dataset-requests-regular,5
doi=10.5064/F6AC1QAF,total-dataset-investigations-machine,3
doi=10.5064/F6AC1QAF,unique-dataset-investigations-machine,3
doi=10.5064/F6AGWUJG,total-dataset-investigations-regular,6
doi=10.5064/F6AGWUJG,total-dataset-requests-regular,6
doi=10.5064/F6AGWUJG,unique-dataset-investigations-regular,6
doi=10.5064/F6AGWUJG,unique-dataset-requests-regular,6
doi=10.5064/F6AGWUJG,total-dataset-investigations-machine,3
doi=10.5064/F6AGWUJG,unique-dataset-investigations-machine,3
doi=10.5064/F6FLYLN6,has-part,63
doi=10.5064/F6FLYLN6,is-part-of,59
doi=10.5064/F6FLYLN6,total-dataset-investigations-regular,6
doi=10.5064/F6FLYLN6,unique-dataset-investigations-regular,6
doi=10.5064/F6FLYLN6,total-dataset-requests-regular,5
doi=10.5064/F6FLYLN6,unique-dataset-requests-regular,5
doi=10.5064/F6FLYLN6,is-authored-by,2
doi=10.5064/F6FLYLN6,is-supplement-to,2
doi=10.5064/F6FLYLN6,total-dataset-investigations-machine,2
doi=10.5064/F6FLYLN6,unique-dataset-investigations-machine,2
doi=10.5064/F6W3BY0S,has-part,63
doi=10.5064/F6W3BY0S,total-dataset-investigations-regular,6
doi=10.5064/F6W3BY0S,unique-dataset-investigations-regular,6
doi=10.5064/F6W3BY0S,total-dataset-requests-regular,4
doi=10.5064/F6W3BY0S,unique-dataset-requests-regular,4
doi=10.5064/F6W3BY0S,is-authored-by,2
doi=10.5064/F6W3BY0S,is-supplement-to,2
doi=10.5064/F6W3BY0S,total-dataset-investigations-machine,2
doi=10.5064/F6W3BY0S,unique-dataset-investigations-machine,2
doi=10.5064/F6IJOKZD,has-part,63
doi=10.5064/F6IJOKZD,total-dataset-investigations-regular,6
doi=10.5064/F6IJOKZD,unique-dataset-investigations-regular,6
doi=10.5064/F6IJOKZD,total-dataset-requests-regular,4
doi=10.5064/F6IJOKZD,unique-dataset-requests-regular,4
doi=10.5064/F6IJOKZD,total-dataset-investigations-machine,3
doi=10.5064/F6IJOKZD,unique-dataset-investigations-machine,3
doi=10.5064/F6IJOKZD,is-supplement-to,2
doi=10.5064/F6OJNVF1,has-part,62
doi=10.5064/F6OJNVF1,total-dataset-investigations-regular,6
doi=10.5064/F6OJNVF1,unique-dataset-investigations-regular,6
doi=10.5064/F6OJNVF1,is-authored-by,2
doi=10.5064/F6OJNVF1,is-supplement-to,2
doi=10.5064/F6OJNVF1,total-dataset-investigations-machine,2
doi=10.5064/F6OJNVF1,total-dataset-requests-regular,2
