dataset_pid_url,dataset_version_number,dataset_version_create_time,installation,dataverse_alias,westLongitude,eastLongitude,northLongitude,southLongitude
https://doi.org/10.11588/data/10039,2.2,2017-07-06 07:00:46+00:00,HeiDATA,healtheco,3.8667,,12.7333,
https://doi.org/10.11588/data/LSG8TN,1,2020-09-01 13:38:28+00:00,HeiDATA,geomorph,"6°37'56.27""E","6°54'33.22""E","50°59'31.93""N","50°46'19.53""N"
https://doi.org/10.15454/2TWG8B,1,2021-05-28 09:16:27+00:00,Recherche Data Gouv,TEMPO,,2°49,48°80,
https://doi.org/10.15454/CLYPS4,2,2020-01-30 17:38:02+00:00,Recherche Data Gouv,TEMPO,,"4°52'41.69""E","43°54'59.63""N",
https://doi.org/10.15454/D4MJMJ,3.1,2022-01-14 10:22:28+00:00,Recherche Data Gouv,pheno_ueh,-0.596669925,47.67480696,,
https://doi.org/10.15454/FURI5D,1,2022-01-05 15:33:51+00:00,Recherche Data Gouv,meteo_data_ueh,-0.598433018,47.67492406,,
https://doi.org/10.15454/GYSGNR,3,2022-09-26 15:17:26+00:00,Recherche Data Gouv,urgi,,007°20.818',48°12.952’,
https://doi.org/10.15454/HTRLXE,1,2022-01-06 14:30:05+00:00,Recherche Data Gouv,meteo_data_ueh,-0.595343113,47.67435696,,
https://doi.org/10.15454/JFVDNX,1,2020-01-30 10:35:43+00:00,Recherche Data Gouv,TEMPO,,"0° 4'43.17""E","46°24'14.01""N",
https://doi.org/10.15454/JPLAYA,3,2021-06-06 14:24:47+00:00,Recherche Data Gouv,anaee-france,,5.679166667,43.2408333,
https://doi.org/10.15454/KB0NL3,1,2020-11-25 08:17:10+00:00,Recherche Data Gouv,ecobiop,,6.402056,46.932689,
https://doi.org/10.15454/M2GI65,4,2022-03-07 07:32:13+00:00,Recherche Data Gouv,anaee-france,,3°35’46’’ E,43°44’29’’ N,
https://doi.org/10.15454/M9EOEW,1,2021-07-28 07:37:28+00:00,Recherche Data Gouv,ecobiop,"70°13'11.76""E","70°13'11.76""E","49°20'58.24""S","49°20'58.24""S"
https://doi.org/10.15454/P27LDX,1.1,2021-06-14 10:01:36+00:00,Recherche Data Gouv,TEMPO,,2.088,48.805,
https://doi.org/10.15454/SCTMIU,4,2022-01-12 10:27:47+00:00,Recherche Data Gouv,pheno_ueh,-0.596669925,,47.67480696,
https://doi.org/10.15454/SGO7EU,2,2019-04-11 07:24:37+00:00,Recherche Data Gouv,eos,48.684,48.5985,-1.2949,-1. 0994
https://doi.org/10.15454/TJTV6N,2,2022-07-26 09:16:57+00:00,Recherche Data Gouv,pheno_uea,0°16'57.0''W,,44°34'37.3''N,
https://doi.org/10.15454/YFY4AQ,5,2022-03-10 08:44:46+00:00,Recherche Data Gouv,eos,48.684,48.5985,-1.2949,-1. 0994
https://doi.org/10.15454/YJ33JC,1,2021-07-16 09:30:16+00:00,Recherche Data Gouv,mustard,,5.15565,47.255594,
https://doi.org/10.15454/YJ33JC,1,2021-07-16 09:30:16+00:00,Recherche Data Gouv,mustard,,4.770611,46.733075,
https://doi.org/10.15454/YJ33JC,1,2021-07-16 09:30:16+00:00,Recherche Data Gouv,mustard,,5.031239,47.213742,
https://doi.org/10.15454/ZDAXAE,1.1,2019-03-15 09:29:28+00:00,Recherche Data Gouv,inrae,"477,718","485,985","-12,949","-10,994"
https://doi.org/10.17528/CIFOR/DATA.00244,1,2020-01-07 16:18:53+00:00,CIFOR,swamp-soil,46.84027778,,,1.125555556
https://doi.org/10.17528/CIFOR/DATA.00267,1,2020-01-06 16:03:13+00:00,CIFOR,swamp-GHGs,,113.150762,,2.91482
https://doi.org/10.17528/CIFOR/DATA.00268,1,2020-01-07 12:59:07+00:00,CIFOR,swamp-GHGs,,111.84,,2.8225
https://doi.org/10.18130/V3/8GTDST,1.2,2020-11-05 03:05:21+00:00,Libra Data,culturalheritage,"78°30'12.6""",,"38°02'04.3""",
https://doi.org/10.18130/V3/AK74KN,1,2022-05-09 15:46:00+00:00,Libra Data,culturalheritage,-78.27615663,,38.07995387,
https://doi.org/10.18130/V3/ESQBIY,1.5,2022-09-28 18:13:50+00:00,Libra Data,culturalheritage,78° 15' 51.39'',,37° 51' 39.132'',
https://doi.org/10.18130/V3/FZ8DGS,1.5,2022-09-28 18:04:47+00:00,Libra Data,culturalheritage,78°30'31.9,,38°02'40.8,
https://doi.org/10.18130/V3/LMLXKQ,1,2022-05-09 16:15:40+00:00,Libra Data,culturalheritage,-78.50362634,,38.05580466,
https://doi.org/10.18130/V3/MLCMPS,1.1,2022-07-27 14:22:13+00:00,Libra Data,culturalheritage,78° 30' 5.67'',,38° 2' 7.3788'',
https://doi.org/10.18130/V3/MLCMPS,1.1,2022-07-27 14:22:13+00:00,Libra Data,culturalheritage,78° 30' 5.67'',,38° 2' 7.3788'',
https://doi.org/10.18130/V3/OCRSJY,2.3,2022-07-21 21:14:11+00:00,Libra Data,culturalheritage,-78.133207,,37.562824,
https://doi.org/10.18130/V3/YCEYXT,1.3,2022-07-27 14:18:03+00:00,Libra Data,culturalheritage,78° 30' 21.7476'',,38° 2' 3.3612'',
https://doi.org/10.18710/0ANF8U,2,2022-07-04 12:28:37+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/0NHUJG,2,2022-07-04 12:46:46+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/0X3TDF,2,2022-07-04 12:41:51+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/11K4ZS,2,2022-07-04 12:35:02+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/18MZPK,2,2022-07-04 12:33:18+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/1A0GNA,2,2022-07-04 12:39:01+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/1CSIOA,2,2022-07-04 12:30:55+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/1KYFV8,2,2022-07-04 12:53:11+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/1MMRDP,2,2022-07-04 12:27:21+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/1NGCDP,2,2022-07-04 12:45:29+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/1SYRPE,2,2022-07-04 12:32:57+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
https://doi.org/10.18710/1V2V6O,2,2022-07-04 12:50:49+00:00,DataverseNO,tgo,westlimit=19.216667,eastlimit=19.216667,northlimit=69.583333,southlimit=69.583333
