datasetPID,dataverseName,dataverseUrl,datasetPIDUrl,numberOfVersions,numberOfMajorVersions,publicationDate,latestReleaseDate,ageOfDataset(Days),ageOfLastUpdate(Days),descriptionLenth,termsExist,license,termsOfUseExists,termsOfAccessExists,relPubCount,relPubPIDCount,usedMetadataBlocks,numberOfFiles,noFileDescriptionCount,fileTagsExist,uniqueContentTypes,ingestableTabularFileCount,ingestedTabFilesCount,uningestedTabFilesCount,restrictedFilesCount
doi:10.7910/DVN/05BMJY,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/05BMJY,1.0,1.0,2012-07-09 00:00:00+00:00,2012-07-09 00:00:00+00:00,3150.0,3150.0,5330.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/064X5M,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/064X5M,4.0,1.0,2017-11-21 21:44:28+00:00,2019-04-10 15:48:40+00:00,1188.0,683.0,1836.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",1.0,1.0,False,application/vnd.ms-excel,0.0,0.0,0.0,1.0
doi:10.7910/DVN/0EXZ8X,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/0EXZ8X,3.0,1.0,2012-07-30 00:00:00+00:00,2016-04-20 15:11:47+00:00,3129.0,1768.0,1578.0,True,NONE,True,False,1.0,0.0,"citation,geospatial",2.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
doi:10.7910/DVN/0JZ8U7,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/0JZ8U7,4.0,3.0,2012-03-20 00:00:00+00:00,2015-11-19 22:31:06+00:00,3261.0,1921.0,744.0,True,NONE,True,False,1.0,0.0,"citation,geospatial",3.0,0.0,True,"application/pdf,application/vnd.ms-excel,application/zip",0.0,0.0,0.0,0.0
doi:10.7910/DVN/0LFGL1,Agricultural Science and Technology Indicators (ASTI) Dataverse,https://dataverse.harvard.edu/dataverse/asti,https://doi.org/10.7910/DVN/0LFGL1,2.0,1.0,2015-11-03 18:52:45+00:00,2015-11-16 19:32:56+00:00,1937.0,1924.0,1203.0,True,CC0,True,False,1.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/0R5WTU,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/0R5WTU,5.0,3.0,2015-09-23 20:47:30+00:00,2016-05-02 17:13:37+00:00,1978.0,1756.0,1262.0,True,CC0,True,False,0.0,0.0,"citation,geospatial,socialscience",23.0,0.0,True,"application/pdf,application/x-stata-syntax,text/tab-separated-values",9.0,9.0,0.0,0.0
doi:10.7910/DVN/0T1OLX,Agricultural Science and Technology Indicators (ASTI) Dataverse,https://dataverse.harvard.edu/dataverse/asti,https://doi.org/10.7910/DVN/0T1OLX,4.0,1.0,2015-11-03 18:56:30+00:00,2019-10-07 16:21:56+00:00,1937.0,503.0,1124.0,True,NONE,True,False,1.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/0TGTF0,Africa RISING Dataverse,https://dataverse.harvard.edu/dataverse/AfricaRISING,https://doi.org/10.7910/DVN/0TGTF0,5.0,2.0,2017-10-27 19:50:34+00:00,2019-04-10 15:55:55+00:00,1213.0,683.0,227.0,True,NONE,True,False,1.0,0.0,"citation,geospatial",1.0,0.0,True,text/tab-separated-values,1.0,1.0,0.0,1.0
doi:10.7910/DVN/14LFQF,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/14LFQF,5.0,1.0,2017-03-14 15:56:52+00:00,2017-11-28 17:51:40+00:00,1440.0,1181.0,1829.0,True,NONE,True,False,0.0,0.0,"citation,geospatial",0.0,0.0,False,NA,0.0,0.0,0.0,0.0
doi:10.7910/DVN/15LBJ6,IFPRI Dataverse,https://dataverse.harvard.edu/dataverse/IFPRI,https://doi.org/10.7910/DVN/15LBJ6,3.0,2.0,2012-08-09 00:00:00+00:00,2015-11-17 21:45:29+00:00,3119.0,1923.0,1705.0,True,NONE,True,False,1.0,0.0,"citation,geospatial",2.0,0.0,True,"application/pdf,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet",1.0,0.0,1.0,0.0
