,ifpri
Has description,True
Has tagline,True
Number of search facets,5
Metadatablocks enabled,2
Dataset count,576
Versions (avg # of major and minor versions),2.82
Major versions (average #),1.57
Age of datasets (average),1501.64
Dataset description length (avg # of characters),1437.49
CC0 datasets (% of total datasets),11.98%
No terms (% of datasets with no terms metadata),-199.83%
Related pub metadata (% of datasets with rel pub metadata),50.52%
Related pub PIDs (% of datasets with rel pub PIDs),28.12%
Metadatablocks used (list),"citation,geospatial,socialscience"
No files (# of datasets with no files),103
File descriptions (% of datasets with 1 or more file descriptions),46.35%
File tags (% of datasets with 1 or more file tags),74.13%
Unique file types (count),32
Ingestable tabular data (% of datasets with data files that can be ingested),69.56%
Tabular data ingest successes (% of datasets with tabular data that have been ingested),82.98%
Public files (% of unrestricted files),86.62%
