,nds
Has description,False
Has tagline,True
Number of search facets,5
Metadatablocks enabled,0
Dataset count,193
Versions (avg # of major and minor versions),1.16
Major versions (average #),1.02
Age of datasets (average),2653.22
Dataset description length (avg # of characters),150.72
CC0 datasets (% of total datasets),0.0%
No terms (% of datasets with no terms metadata),0.0%
Related pub metadata (% of datasets with rel pub metadata),0.52%
Related pub PIDs (% of datasets with rel pub PIDs),0.0%
Metadatablocks used (list),"citation,geospatial,socialscience"
No files (# of datasets with no files),4
File descriptions (% of datasets with 1 or more file descriptions),34.2%
File tags (% of datasets with 1 or more file tags),47.67%
Unique file types (count),18
Ingestable tabular data (% of datasets with data files that can be ingested),34.39%
Tabular data ingest successes (% of datasets with tabular data that have been ingested),87.69%
Public files (% of unrestricted files),0.97%
