"dataverse_publish_date","depositor_id","dataverse_id"
"2019-04-04","@ISJ",3393598
"2019-04-05","@ISJ",3393695
"2019-04-10","@gulustanbssjar",3205546
"2019-04-10","@gulustanbssjar",3407207
"2019-04-13","@AvisLivre",3408197
"2019-05-14","@vietnam",3428166
"2019-06-24","@expat",3454507
"2019-06-24","@grossirseins",3454508
"2019-06-24","@doctor_usa",3454509
"2019-06-24","@carabattersby",3454984
"2019-07-19","@SufyanIlyas",3474914
"2019-08-23","@gssrjournal",3543077
"2019-10-31","@ijbass",3612017
"2019-11-26","@ASC_Academic_Publishing",3636682
"2019-12-16","@dharma.journal",3645388
"2019-12-22","@andytou",3651845
"2020-01-01","@HofstadCoryAndrew",3654109
"2020-01-04","@regepe",3654402
"2020-01-08","@AFJBS",3656407
"2020-01-09","@AFJBS",3656609
"2020-01-09","@rahmanmdmizanur",3656803
"2020-01-11","@andytou",3657457
"2020-01-13","@andytou",3658035
"2020-01-14","@andytou",3659214
"2020-02-10","@thu",3679283
"2020-03-22","@UNWMATARAM",3779384
"2020-04-19","@jansenwongso",3809549
"2020-04-20","@willymike064",3810922
"2020-04-28","@dodekana",3820407
"2020-04-28","@dodekana",3820409
"2020-05-10","@sevices.leggornitz",3830844
"2020-05-15","@Njpas",3835490
"2020-07-13","@goodcleanfun",3983637
"2020-07-15","@dominopoker99",3984387
"2020-07-16","@kopi777",3985049
"2020-07-16","@mpoterbaru",3985391
"2020-07-16","@kopi777",3985414
"2020-07-16","@slotonlineid",3985416
"2020-07-17","@jhonpantauU123",3985418
"2020-07-17","@rinagatha",3985417
"2020-07-17","@jesicamonica",3985420
"2020-07-17","@menangjudi",3985481
"2020-07-17","@bolamega",3985484
"2020-07-17","@judislotonline",3985680
"2020-07-17","@trustedt",3985709
"2020-07-17","@trustedt",3985710
"2020-07-17","@loginmpo",3985822
"2020-07-18","@shantydeswinta",3986213
"2020-07-18","@riskaparasan",3986223
"2020-07-18","@sultanplay",3986265
"2020-07-19","@xelapui",3986474
"2020-07-19","@CMD398",3986507
"2020-07-19","@slot-online",3986509
"2020-07-19","@macauslot88",3986508
"2020-07-20","@lalakimtersia",3986608
