deposit_id	deposit_type	deposit_createdate	deposit_publicationdate	deposit_parent_dataverse	user_account_id_of_deposit	user_account_createdate	user_account_type	affiliation	account_email_domain
2839889	Dataverse	2016-06-08	2016-06-08	1	14473	2000-01-01	builtin	Stanford University	gmail.com
2840637	Dataverse	2016-06-13	2017-06-14	1	14508	2000-01-01	builtin		gmail.com
644	Dataverse	2009-07-27	2011-06-15	1	1417	2000-01-01	builtin	International Christian University	icu.ac.jp
2840679	Dataverse	2016-06-13	2017-06-23	1	14507	2000-01-01	builtin		jhu.edu
646	Dataverse	2009-07-29	2009-07-29	1	1425	2000-01-01	builtin	Harvard University	wjh.harvard.edu
2840694	Dataverse	2016-06-13	2016-06-13	2817127	13454	2000-01-01	builtin	HKS	hks.harvard.edu
2841246	Dataverse	2016-06-14	2017-06-26	1	14507	2000-01-01	builtin		jhu.edu
2845592	Dataverse	2016-06-27	2016-06-27	2839995	13454	2000-01-01	builtin	HKS	hks.harvard.edu
2845614	Dataverse	2016-06-28	2016-06-28	1626	5291	2000-01-01	builtin		gmail.com
2846915	Dataverse	2016-06-29	2016-06-29	2839999	13454	2000-01-01	builtin	HKS	hks.harvard.edu
2847033	Dataverse	2016-06-29	2016-06-29	2839999	13454	2000-01-01	builtin	HKS	hks.harvard.edu
2847081	Dataverse	2016-06-29	2016-06-29	2839993	13454	2000-01-01	builtin	HKS	hks.harvard.edu
2847119	Dataverse	2016-06-29	2016-06-29	2839993	13454	2000-01-01	builtin	HKS	hks.harvard.edu
2847120	Dataverse	2016-06-29	2016-06-29	2839993	13454	2000-01-01	builtin	HKS	hks.harvard.edu
2847140	Dataverse	2016-06-29	2016-06-29	2839994	13454	2000-01-01	builtin	HKS	hks.harvard.edu
2851596	Dataverse	2016-07-12	2016-09-05	2841362	14540	2000-01-01	builtin	Harvard-Smithsonian Center for Astrophysics	cfa.harvard.edu
2851645	Dataverse	2016-07-13	2016-09-05	2841362	14540	2000-01-01	builtin	Harvard-Smithsonian Center for Astrophysics	cfa.harvard.edu
2851657	Dataverse	2016-07-13	2016-09-05	2841362	14540	2000-01-01	builtin	Harvard-Smithsonian Center for Astrophysics	cfa.harvard.edu
2851658	Dataverse	2016-07-13	2016-09-05	2841362	14540	2000-01-01	builtin	Harvard-Smithsonian Center for Astrophysics	cfa.harvard.edu
2851716	Dataverse	2016-07-14	2016-10-17	1	14806	2000-01-01	builtin		gmail.com
2851771	Dataverse	2016-07-15	2017-04-04	1	14821	2000-01-01	shib	University of California, Berkeley	berkeley.edu
2851919	Dataverse	2016-07-17	2016-07-25	2851918	14829	2000-01-01	builtin	University of Canterbury	canterbury.ac.nz
2853744	Dataverse	2016-07-21	2017-07-24	2853293	12002	2000-01-01	builtin	Massachusetts Eye and Ear Infirmary	meei.harvard.edu
