dataset_pid,dataset_pid_url,dataset_url,publication_date,dataset_version_number,dataset_version_create_time,dataverse_collection_alias,topicClassValue,topicClassVocab,topicClassVocabURI,keywordValue,keywordTermURI,keywordVocabulary,keywordVocabularyURI
doi:10.7910/DVN/0N2ASI,https://doi.org/10.7910/DVN/0N2ASI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/0N2ASI,,DRAFT,2023-10-20T06:57:21Z,MORU,Antibiotic Resistance,MeSH,http://id.nlm.nih.gov/mesh/D004352,Drug Resistance,,MeSH,http://id.nlm.nih.gov/mesh/D004351
doi:10.7910/DVN/0N2ASI,https://doi.org/10.7910/DVN/0N2ASI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/0N2ASI,,DRAFT,2023-10-20T06:57:21Z,MORU,Antibiotic Resistance,MeSH,http://id.nlm.nih.gov/mesh/D004352,Antibiotic Resistance,,MeSH,http://id.nlm.nih.gov/mesh/D004352
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,MeSH,http://id.nlm.nih.gov/mesh/D005193,"Sterilization, Reproductive",,MeSH,http://id.nlm.nih.gov/mesh/D013245
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,MeSH,http://id.nlm.nih.gov/mesh/D005193,Intrauterine Devices,,MeSH,http://id.nlm.nih.gov/mesh/D007434
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,MeSH,http://id.nlm.nih.gov/mesh/D005193,Family Planning Services,,MeSH,http://id.nlm.nih.gov/mesh/D005193
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,MeSH,http://id.nlm.nih.gov/mesh/D005193,Long-Acting Reversible Contraception,,MeSH,http://id.nlm.nih.gov/mesh/D000075523
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,MeSH,http://id.nlm.nih.gov/mesh/D005193,Refugees,,MeSH,http://id.nlm.nih.gov/mesh/D012036
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,MeSH,http://id.nlm.nih.gov/mesh/D005193,Transients and Migrants,,MeSH,http://id.nlm.nih.gov/mesh/D014171
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,MeSH,http://id.nlm.nih.gov/mesh/D005193,In depth interview,,,
doi:10.7910/DVN/25E8J5,https://doi.org/10.7910/DVN/25E8J5,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/25E8J5,,DRAFT,2023-07-11T04:23:02Z,MORU,Family Planning Services,MeSH,http://id.nlm.nih.gov/mesh/D005193,Focus group discussion,,,
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,"Malaria, Falciparum",MeSH,http://id.nlm.nih.gov/mesh/D016778,"Artemether, Lumefantrine Drug Combination",,MeSH,http://id.nlm.nih.gov/mesh/D000077611
