dataset_pid,dataset_pid_url,dataset_url,publication_date,dataset_version_number,dataset_version_create_time,dataverse_collection_alias,keywordValue,keywordTermURI,keywordVocabulary,keywordVocabularyURI
doi:10.7910/DVN/FI9GLI,https://doi.org/10.7910/DVN/FI9GLI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/FI9GLI,,DRAFT,2023-03-28T11:11:01Z,MORU,Data sharing,,,
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,"Artemether, Lumefantrine Drug Combination",,MeSH,http://id.nlm.nih.gov/mesh/D000077611
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,Artemisinins,,MeSH,http://id.nlm.nih.gov/mesh/D037621
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,Mefloquine,,MeSH,http://id.nlm.nih.gov/mesh/D015767
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,Amodiaquine,,MeSH,http://id.nlm.nih.gov/mesh/D000655
doi:10.7910/DVN/2IEMVG,https://doi.org/10.7910/DVN/2IEMVG,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/2IEMVG,,DRAFT,2023-06-27T02:30:05Z,MORU,"Artemether, Lumefantrine Drug Combination",,MeSH,http://id.nlm.nih.gov/mesh/D000077611
doi:10.7910/DVN/IP7Q1K,https://doi.org/10.7910/DVN/IP7Q1K,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IP7Q1K,,DRAFT,2023-06-27T08:14:32Z,MORU,Coma,,MeSH,http://id.nlm.nih.gov/mesh/D003128
doi:10.7910/DVN/IP7Q1K,https://doi.org/10.7910/DVN/IP7Q1K,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IP7Q1K,,DRAFT,2023-06-27T08:14:32Z,MORU,"Malaria, Cerebral",,MeSH,http://id.nlm.nih.gov/mesh/D016779
doi:10.7910/DVN/IP7Q1K,https://doi.org/10.7910/DVN/IP7Q1K,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IP7Q1K,,DRAFT,2023-06-27T08:14:32Z,MORU,Artemether Lumefantrine,,MeSH,http://id.nlm.nih.gov/mesh/D000077611
doi:10.7910/DVN/IP7Q1K,https://doi.org/10.7910/DVN/IP7Q1K,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/IP7Q1K,,DRAFT,2023-06-27T08:14:32Z,MORU,Artesunate,,MeSH,http://id.nlm.nih.gov/mesh/D000077332
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,tafenoquine,,MeSH,http://id.nlm.nih.gov/mesh/C055852
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,"Malaria, Vivax",,MeSH,http://id.nlm.nih.gov/mesh/D016780
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,Glucosephosphate Dehydrogenase,,MeSH,http://id.nlm.nih.gov/mesh/D005954
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,Primaquine,,MeSH,http://id.nlm.nih.gov/mesh/D011319
doi:10.7910/DVN/ALDXWI,https://doi.org/10.7910/DVN/ALDXWI,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ALDXWI,,DRAFT,2023-07-20T01:53:55Z,MORU,Chloroquine,,MeSH,http://id.nlm.nih.gov/mesh/D002738
doi:10.7910/DVN/ASM4DC,https://doi.org/10.7910/DVN/ASM4DC,https://dataverse.harvard.edu/dataset.xhtml?persistentId=doi:10.7910/DVN/ASM4DC,,DRAFT,2023-07-27T06:30:25Z,MORU,Anti-Bacterial Agents,,MeSH,http://id.nlm.nih.gov/mesh/D000900
