dataverse_installation_name,count_of_author_metadata,count_of_orcids,percentage_of_orcids
ACSS_Dataverse,5,3,60.0
ADA_Dataverse,109,58,53.21100917431193
ASU_Library_Research_Data_Repository,62,32,51.61290322580645
AUSSDA_Dataverse,111,52,46.846846846846844
Abacus,207,0,0.0
Arca_Dados,180,71,39.44444444444444
Borealis,2359,655,27.766002543450615
CIDACS,44,1,2.272727272727273
CIFOR,40,8,20.0
CIMMYT_Research_Data,220,123,55.90909090909091
CORA._Research_Data_Repository_(RDR),505,376,74.45544554455445
CROSSDA,9,9,100.0
CUHK_Research_Data_Repository,18,2,11.11111111111111
DANS_Data_Station_Archaeology,6466,25,0.38663779771110424
DATICE,9,1,11.11111111111111
DOREL,60,35,58.333333333333336
DR-NTU_(Data),422,215,50.947867298578196
DUnAs,7,7,100.0
DaRUS,381,329,86.3517060367454
Dartmouth_Dataverse,4,2,50.0
DataRepositoriUM,49,17,34.69387755102041
Data_Suds,414,238,57.48792270531401
DataverseNL,1315,812,61.7490494296578
DataverseNO,421,253,60.09501187648456
Dataverse_e-cienciaDatos,124,89,71.7741935483871
Edmond,420,194,46.19047619047619
FGV_Dataverse,2,1,50.0
Florida_International_University_Research_Data_Portal,16,8,50.0
George_Mason_University_Dataverse,6,2,33.33333333333333
Gustave_Eiffel_University_Dataverse,31,14,45.16129032258064
Göttingen_Research_Online,308,124,40.25974025974026
Harvard_Dataverse,10972,4004,36.492890995260666
HeiDATA,309,76,24.59546925566343
ICRISAT,3,3,100.0
IISH_Dataverse,17,10,58.82352941176471
IPGP_Research_Collection,69,31,44.927536231884055
Indata,3,1,33.33333333333333
Institute_of_Russian_Literature_Dataverse,23,4,17.391304347826086
International_Potato_Center,141,30,21.27659574468085
Italian_Institute_of_Technology_(IIT),26,19,73.07692307692307
JPL_Open_Repository,421,6,1.4251781472684086
Johns_Hopkins_Research_Data_Repository,88,55,62.5
Jülich_DATA,337,180,53.41246290801187
KEEN_Data_Management_Platform,8,4,50.0
KU_Leuven_RDR,138,117,84.78260869565217
Libra_Data,72,19,26.38888888888889
Lithuanian_Data_Archive_for_Social_Sciences_and_Humanities_(LiDA),97,37,38.144329896907216
MELDATA,36,13,36.11111111111111
NIE_Data_Repository,118,49,41.52542372881356
NIOZ_Dataverse,36,27,75.0
NYCU_Dataverse,273,22,8.058608058608058
Open_Data_@_UCLouvain,74,33,44.5945945945946
Open_Forest_Data,354,9,2.5423728813559325
PAPYRUS,23,20,86.95652173913044
Peking_University,35,4,11.428571428571429
Pontificia_Universidad_Católica_del_Perú,9,1,11.11111111111111
QDR_Main_Collection,64,44,68.75
RSU_Dataverse,31,29,93.54838709677419
Recherche_Data_Gouv,1482,523,35.29014844804318
Repositorio_de_Datos_Académicos_RDA-UNR,63,43,68.25396825396825
Repositorio_de_Datos_de_Investigación_Universidad_del_Rosario,45,42,93.33333333333333
Repositorio_de_datos_de_la_Universidad_de_Concepción,8,8,100.0
Repositório_de_Dados_de_Pesquisa_da_UFABC,7,0,0.0
Repositórios_Piloto_da_Rede_Nacional_de_Ensino_e_Pesquisa,1,0,0.0
Repositório_de_Dados_de_Pesquisa,16,12,75.0
SciELO_Data,647,583,90.1081916537867
TRR170-DB,72,20,27.77777777777778
Tecnológico_de_Monterrey_Data_Hub,2,0,0.0
Texas_Data_Repository_Dataverse,438,127,28.99543378995434
UCLA_Dataverse,72,10,13.88888888888889
UNB_Libraries_Dataverse,17,2,11.76470588235294
UNC_Dataverse,319,62,19.435736677115987
University_of_Manitoba_Dataverse,10,4,40.0
Università_degli_Studi_di_Milano,56,28,50.0
VTTI,56,34,60.71428571428571
World_Agroforestry_-_Research_Data_Repository,44,25,56.81818181818182
dare,1,0,0.0
data.sciencespo,187,31,16.577540106951872
osnaData,25,18,72.0
