dataverse_installation_name,count_of_author_metadata,count_of_orcids_in_author_metadata,percentage_of_orcids_in_author_metadata
ACSS Dataverse,30,1,0.03333333333333333
ADA Dataverse,138,26,0.18840579710144928
ARP,249,105,0.42168674698795183
ASU Library Research Data Repository,75,55,0.7333333333333333
AUSSDA Dataverse,233,135,0.5793991416309013
Abacus,248,0,0.0
Arca Dados,499,80,0.16032064128256512
BRIN Dataverse,399,77,0.19298245614035087
BioData.pt Data Management Portal (DMPortal),8,0,0.0
Borealis,5597,1300,0.23226728604609612
CESA | Repositorio de datos acadmicos,11,11,1.0
CIDACS,28,0,0.0
CIFOR,64,0,0.0
CIMMYT Research Data,633,456,0.7203791469194313
CORA. Research Data Repository (RDR),2083,1719,0.8252520403264523
CROSSDA,42,35,0.8333333333333334
CUHK Research Data Repository,60,13,0.21666666666666667
DANS Data Station Archaeology,23800,57,0.0023949579831932773
DANS Data Station Life Sciences,2500,529,0.2116
DANS Data Station Physical and Technical Sciences,1408,312,0.2215909090909091
DANS Data Station Social Sciences and Humanities,5500,323,0.058727272727272725
DATICE,7,4,0.5714285714285714
DOREL,54,31,0.5740740740740741
DR-NTU (Data),946,483,0.5105708245243129
DUnAs,16,16,1.0
DaRUS,881,774,0.8785471055618616
Dartmouth Dataverse,329,86,0.2613981762917933
Data Suds,442,262,0.5927601809954751
DataRepositoriUM,143,85,0.5944055944055944
DataSpace@HKUST,34,24,0.7058823529411765
Dataverse e-cienciaDatos,1027,951,0.9259980525803311
DataverseNL,7444,4792,0.6437399247716281
DataverseNO,1741,1033,0.5933371625502585
Edmond,786,0,0.0
FGV Dataverse,15,2,0.13333333333333333
Florida International University Research Data Portal,27,9,0.3333333333333333
George Mason University Dataverse,34,16,0.47058823529411764
Gttingen Research Online,687,254,0.3697234352256186
Harvard Dataverse,17522,5116,0.291975801849104
HeiDATA,787,301,0.38246505717916135
ICRISAT,2,2,1.0
IDSC Dataverse,267,13,0.04868913857677903
IISH Dataverse,96,56,0.5833333333333334
IPGP Research Collection,93,68,0.7311827956989247
Institute of Russian Literature Dataverse,11,5,0.45454545454545453
International Potato Center,971,311,0.32028836251287335
Italian Institute of Technology (IIT),31,7,0.22580645161290322
JPL Open Repository,138027,76,0.0005506169082860599
Johns Hopkins Research Data Repository,279,170,0.6093189964157706
Jlich DATA,628,236,0.37579617834394907
KU Leuven RDR,552,436,0.7898550724637681
Libra Data,208,77,0.3701923076923077
Lithuanian Data Archive for Social Sciences and Humanities (LiDA),1751,1444,0.8246716162193033
MELDATA,1335,499,0.37378277153558054
NIE Data Repository,208,63,0.30288461538461536
NIOZ Dataverse,135,45,0.3333333333333333
NYCU Dataverse,333,34,0.1021021021021021
Open Data @ UCLouvain,67,24,0.3582089552238806
Open Forest Data,17,3,0.17647058823529413
PAPYRUS,255,15,0.058823529411764705
Pontificia Universidad Catlica del Per,627,8,0.012759170653907496
QDR Main Collection,50,17,0.34
RODBUK AGH,264,0,0.0
RODBUK PK,25,0,0.0
RODBUK UEK,29,0,0.0
RODBUK UJ,452,0,0.0
RSU Dataverse,56,51,0.9107142857142857
Recherche Data Gouv,3775,1913,0.5067549668874172
Repositorio TECdatos,7,4,0.5714285714285714
Repositorio de Datos Abiertos de Investigacin (Redata),84,16,0.19047619047619047
Repositorio de Datos Acadmicos RDA-UNR,38,33,0.868421052631579
Repositorio de Datos Pontificia Universidad Javeriana,5,5,1.0
Repositorio de Datos de Investigacin Universidad del Rosario,42,21,0.5
Repositorio de Datos de Investigacin de la Universidad Nacional de La Plata,25,5,0.2
Repositorio de datos de investigacin de la Universidad de Chile,138,28,0.2028985507246377
Repositorio de datos de la Universidad de Concepcin,21,11,0.5238095238095238
Repositrio de Dados de Pesquisa,98,54,0.5510204081632653
Repositrio de Dados de Pesquisa da UFABC,21,11,0.5238095238095238
ReposÃ­torio SoilData,123,20,0.16260162601626016
SODHA,15,6,0.4
SciELO Data,784,321,0.4094387755102041
TRR170-DB,350,50,0.14285714285714285
TUDOdata,17,9,0.5294117647058824
Tecnolgico de Monterrey Data Hub,14,9,0.6428571428571429
Texas Data Repository Dataverse,937,278,0.29669156883671294
UCLA Dataverse,101,34,0.33663366336633666
UNB Libraries Dataverse,45,15,0.3333333333333333
UNC Dataverse,759,246,0.3241106719367589
Universit degli Studi di Milano,506,168,0.33201581027667987
VTTI,68,52,0.7647058823529411
World Agroforestry - Research Data Repository,39,16,0.41025641025641024
Yale Dataverse,55,12,0.21818181818181817
bonndata,177,2,0.011299435028248588
dare,13,10,0.7692307692307693
data.sciencespo,195,89,0.4564102564102564
dataportal.ing.pan.pl,13,3,0.23076923076923078
osnaData,35,11,0.3142857142857143
uken.rodbuk.pl,2,0,0.0
