dataverse_installation_name,count_of_author_metadata,count_of_orcids_in_author_metadata,percentage_of_orcids_in_author_metadata
ACSS Dataverse,30,1,0.03333333333333333
ADA Dataverse,138,51,0.3695652173913043
ARP,249,106,0.42570281124497994
ASU Library Research Data Repository,75,55,0.7333333333333333
AUSSDA Dataverse,233,135,0.5793991416309013
Abacus,248,0,0.0
Arca Dados,499,137,0.2745490981963928
BRIN Dataverse,399,87,0.21804511278195488
BioData.pt Data Management Portal (DMPortal),8,7,0.875
Borealis,5597,1533,0.27389673039128104
CESA | Repositorio de datos acadmicos,11,11,1.0
CIDACS,28,1,0.03571428571428571
CIFOR,64,20,0.3125
CIMMYT Research Data,633,456,0.7203791469194313
CORA. Research Data Repository (RDR),2083,1765,0.8473355736917907
CROSSDA,42,35,0.8333333333333334
CUHK Research Data Repository,60,13,0.21666666666666667
DANS Data Station Archaeology,23800,57,0.0023949579831932773
DANS Data Station Life Sciences,2500,532,0.2128
DANS Data Station Physical and Technical Sciences,1408,312,0.2215909090909091
DANS Data Station Social Sciences and Humanities,5500,331,0.060181818181818184
DATICE,7,4,0.5714285714285714
DOREL,54,31,0.5740740740740741
DR-NTU (Data),946,483,0.5105708245243129
DUnAs,16,16,1.0
DaRUS,881,774,0.8785471055618616
Dartmouth Dataverse,329,86,0.2613981762917933
Data Suds,442,262,0.5927601809954751
DataRepositoriUM,143,111,0.7762237762237763
DataSpace@HKUST,34,29,0.8529411764705882
Dataverse e-cienciaDatos,1027,978,0.952288218111003
DataverseNL,7444,4843,0.6505910800644814
DataverseNO,1741,1059,0.6082711085582998
Edmond,786,0,0.0
FGV Dataverse,15,2,0.13333333333333333
Florida International University Research Data Portal,27,9,0.3333333333333333
George Mason University Dataverse,34,16,0.47058823529411764
Gttingen Research Online,687,267,0.388646288209607
Harvard Dataverse,17522,6354,0.3626298367766237
HeiDATA,787,316,0.40152477763659467
ICRISAT,2,2,1.0
IDSC Dataverse,267,14,0.052434456928838954
IISH Dataverse,96,58,0.6041666666666666
IPGP Research Collection,93,68,0.7311827956989247
Institute of Russian Literature Dataverse,11,5,0.45454545454545453
International Potato Center,971,311,0.32028836251287335
Italian Institute of Technology (IIT),31,13,0.41935483870967744
JPL Open Repository,138027,76,0.0005506169082860599
Johns Hopkins Research Data Repository,279,172,0.6164874551971327
Jlich DATA,628,296,0.4713375796178344
KU Leuven RDR,552,444,0.8043478260869565
Libra Data,208,78,0.375
Lithuanian Data Archive for Social Sciences and Humanities (LiDA),1751,1444,0.8246716162193033
MELDATA,1335,499,0.37378277153558054
NIE Data Repository,208,63,0.30288461538461536
NIOZ Dataverse,135,53,0.3925925925925926
NYCU Dataverse,333,39,0.11711711711711711
Open Data @ UCLouvain,67,37,0.5522388059701493
Open Forest Data,17,3,0.17647058823529413
PAPYRUS,255,182,0.7137254901960784
Pontificia Universidad Catlica del Per,627,13,0.02073365231259968
QDR Main Collection,50,19,0.38
RODBUK AGH,264,0,0.0
RODBUK PK,25,0,0.0
RODBUK UEK,29,0,0.0
RODBUK UJ,452,0,0.0
RSU Dataverse,56,51,0.9107142857142857
Recherche Data Gouv,3775,1948,0.5160264900662251
Repositorio TECdatos,7,7,1.0
Repositorio de Datos Abiertos de Investigacin (Redata),84,22,0.2619047619047619
Repositorio de Datos Acadmicos RDA-UNR,38,33,0.868421052631579
Repositorio de Datos Pontificia Universidad Javeriana,5,5,1.0
Repositorio de Datos de Investigacin Universidad del Rosario,42,38,0.9047619047619048
Repositorio de Datos de Investigacin de la Universidad Nacional de La Plata,25,18,0.72
Repositorio de datos de investigacin de la Universidad de Chile,138,30,0.21739130434782608
Repositorio de datos de la Universidad de Concepcin,21,12,0.5714285714285714
Repositrio de Dados de Pesquisa,98,72,0.7346938775510204
Repositrio de Dados de Pesquisa da UFABC,21,11,0.5238095238095238
ReposÃ­torio SoilData,123,21,0.17073170731707318
SODHA,15,9,0.6
SciELO Data,784,503,0.6415816326530612
TRR170-DB,350,104,0.29714285714285715
TUDOdata,17,13,0.7647058823529411
Tecnolgico de Monterrey Data Hub,14,9,0.6428571428571429
Texas Data Repository Dataverse,937,301,0.32123799359658484
UCLA Dataverse,101,35,0.3465346534653465
UNB Libraries Dataverse,45,16,0.35555555555555557
UNC Dataverse,759,363,0.4782608695652174
Universit degli Studi di Milano,506,177,0.34980237154150196
VTTI,68,52,0.7647058823529411
World Agroforestry - Research Data Repository,39,16,0.41025641025641024
Yale Dataverse,55,12,0.21818181818181817
bonndata,177,40,0.22598870056497175
dare,13,10,0.7692307692307693
data.sciencespo,195,93,0.47692307692307695
dataportal.ing.pan.pl,13,3,0.23076923076923078
osnaData,35,12,0.34285714285714286
uken.rodbuk.pl,2,0,0.0
