dataverse_installation_name,ORCID,Other_identifier
ACSS_Dataverse,5,0
ADA_Dataverse,1119,0
ASU_Library_Research_Data_Repository,92,0
AUSSDA_Dataverse,258,0
Abacus,0,0
Arca_Dados,135,0
Borealis,3709,35
CESA_-_Repositorio_de_datos_académicos,4,0
CIDACS,10,0
CIFOR,95,0
CIMMYT_Research_Data,2598,4
CORA._Research_Data_Repository_(RDR),1600,2
CROSSDA,32,0
CUHK_Research_Data_Repository,20,0
DADOS_IPB,31,0
DANS_Data_Station_Archaeology,45,218
DATICE,20,15
DOREL,61,0
DR-NTU_(Data),1894,5
DUnAs,30,0
DaRUS,6948,46
Dartmouth_Dataverse,109,0
DataRepositoriUM,72,0
Data_Suds,812,2
DataverseNL,6989,14
DataverseNO,1554,10
Dataverse_e-cienciaDatos,1652,0
Edmond,766,0
FGV_Dataverse,23,0
Florida_International_University_Research_Data_Portal,41,0
George_Mason_University_Dataverse,18,0
Gustave_Eiffel_University_Dataverse,48,0
Göttingen_Research_Online,637,3
Harvard_Dataverse,23082,279
HeiDATA,330,52
ICRISAT,396,0
IISH_Dataverse,304,1
IPGP_Research_Collection,64,0
Indata,1,0
Institute_of_Russian_Literature_Dataverse,9,0
International_Potato_Center,1081,0
Italian_Institute_of_Technology_(IIT),37,0
JPL_Open_Repository,41,0
Johns_Hopkins_Research_Data_Repository,562,0
Jülich_DATA,344,4
KEEN_Data_Management_Platform,5,0
KU_Leuven_RDR,334,0
Libra_Data,146,1
Lithuanian_Data_Archive_for_Social_Sciences_and_Humanities_(LiDA),1218,0
MELDATA,762,0
NIE_Data_Repository,321,0
NIOZ_Dataverse,178,0
NYCU_Dataverse,38,0
Open_Data_@_UCLouvain,111,0
Open_Forest_Data,14369,4
PAPYRUS,280,0
Peking_University,77,0
Pontificia_Universidad_Católica_del_Perú,9,0
QDR_Main_Collection,172,0
RSU_Dataverse,242,0
Recherche_Data_Gouv,2651,55
Repositorio_de_Datos_Académicos_RDA-UNR,57,0
Repositorio_de_Datos_de_Investigación_Universidad_del_Rosario,163,3
Repositorio_de_datos_de_investigación_de_la_Universidad_de_Chile,75,0
Repositorio_de_datos_de_la_Universidad_de_Concepción,24,0
Repositório_de_Dados_de_Pesquisa_da_UFABC,4,0
Repositórios_Piloto_da_Rede_Nacional_de_Ensino_e_Pesquisa,0,0
Repositório_Polen,4,0
Repositório_de_Dados_de_Pesquisa,100,0
SciELO_Data,1247,3
TRR170-DB,94,21
Tecnológico_de_Monterrey_Data_Hub,1,0
Texas_Data_Repository_Dataverse,851,11
UCLA_Dataverse,65,0
UNB_Libraries_Dataverse,14,2
UNC_Dataverse,398,4
University_of_Manitoba_Dataverse,45,0
Università_degli_Studi_di_Milano,147,8
VTTI,426,0
World_Agroforestry_-_Research_Data_Repository,144,0
bonndata,0,0
dare,1,0
data.sciencespo,148,53
osnaData,38,0
