dataset_pid,has_funder_agency_ror_in_hdv,has_funderIdentifier_in_datacite,title,version_state,latest_version,first_version_created,major_version_publication_time,dataset_last_updated,file_count,citationText,dataverse_collection_alias,dataverse_name
doi:10.7910/DVN/0HCFQN,TRUE,,Economic Inclusion Program Cohort 2 in Kenya: Baseline Household Survey,RELEASED,1,2025-12-02T17:07:11Z,2025-12-29T22:20:22Z,2025-12-29T22:20:22Z,54,"International Food Policy Research Institute (IFPRI), 2025, ""Economic Inclusion Program Cohort 2 in Kenya: Baseline Household Survey"", https://doi.org/10.7910/DVN/0HCFQN, Harvard Dataverse, V1, UNF:6:uRF0DY9fI+6V5xc4mshpFQ== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/0IS1YE,TRUE,,ParlaIbero-MX: Parliamentary Speeches from Mexico (1988-2025),RELEASED,2,2026-08-18T13:57:05Z,2026-09-07T13:20:55Z,2026-09-07T13:20:55Z,17,"Rodrigues-Silveira, Rodrigo, 2026, ""ParlaIbero-MX: Parliamentary Speeches from Mexico (1988-2025)"", https://doi.org/10.7910/DVN/0IS1YE, Harvard Dataverse, V2",parlaibero,"ParlaIbero: Parliamentary Speeches from Latin America, Portugal and Spain"
doi:10.7910/DVN/0NPJZM,TRUE,,"Replication Data for: Beck K, Karadimitropoulou A (2026) Lost in Aggregation: Behind the Facade of Eurozone Business Cycle",RELEASED,1,2026-01-06T16:12:37Z,2026-05-04T23:23:17Z,2026-05-04T23:23:17Z,1,"Beck, Krzysztof, 2026, ""Replication Data for: Beck K, Karadimitropoulou A (2026) Lost in Aggregation: Behind the Facade of Eurozone Business Cycle"", https://doi.org/10.7910/DVN/0NPJZM, Harvard Dataverse, V1",harvard,Harvard Dataverse
doi:10.7910/DVN/1DO9OV,TRUE,,Dataset for: Nutrition  supplementation enhanced with brain-directed nutrients and neurocognitive development in Bangladeshi children,RELEASED,1,2025-12-16T19:02:02Z,2025-12-16T22:23:29Z,2025-12-16T22:23:29Z,9,"Sullivan, Eileen; Nelson, Charles, 2025, ""Dataset for: Nutrition supplementation enhanced with brain-directed nutrients and neurocognitive development in Bangladeshi children"", https://doi.org/10.7910/DVN/1DO9OV, Harvard Dataverse, V1",WellcomeLeapM4EFaD,Wellcome Leap M4EFaD
doi:10.7910/DVN/1EKCY0,TRUE,,Replication data for : A multilingual dictionary for the recognition of macro-regions and countries mentioned in daily press news,RELEASED,1,2025-05-10T10:28:37Z,2026-03-10T12:56:52Z,2026-03-10T12:56:52Z,17,"GRASLAND, Claude; Toureille, Etienne, 2026, ""Replication data for : A multilingual dictionary for the recognition of macro-regions and countries mentioned in daily press news"", https://doi.org/10.7910/DVN/1EKCY0, Harvard Dataverse, V1",cybergeo,Cybergeo Dataverse Collection
doi:10.7910/DVN/1PHRZU,TRUE,,Noctilucent clouds observed from the stratosphere during the 2024 TRANSAT balloon flight,RELEASED,1.1,2025-09-22T09:27:42Z,2025-09-25T07:40:56Z,2025-10-01T12:00:58Z,1,"Dalin, Peter, 2025, ""Noctilucent clouds observed from the stratosphere during the 2024 TRANSAT balloon flight"", https://doi.org/10.7910/DVN/1PHRZU, Harvard Dataverse, V1",TRANSAT_NLC,Noctilucent clouds from stratosphere
doi:10.7910/DVN/1SXCLG,TRUE,,A&T Gujarat Implementation Research Baseline Survey 2022: Frontline Workers,RELEASED,1,2024-12-05T18:34:39Z,2025-07-22T03:40:45Z,2025-07-22T03:40:45Z,3,"International Food Policy Research Institute (IFPRI), 2025, ""A&T Gujarat Implementation Research Baseline Survey 2022: Frontline Workers"", https://doi.org/10.7910/DVN/1SXCLG, Harvard Dataverse, V1, UNF:6:0tsdbJQqB2svF+Pst1Ia5g== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/1Z73ZI,TRUE,,"Replication Data for: The Institutional Design of Joint Bodies in Trade Agreements: Monitoring Commitments, Facilitating Negotiations, Avoiding Ratification",RELEASED,1,2026-03-23T11:17:39Z,2026-04-14T20:16:12Z,2026-04-14T20:16:12Z,7,"Gastinger, Markus; Dür, Andreas, 2026, ""Replication Data for: The Institutional Design of Joint Bodies in Trade Agreements: Monitoring Commitments, Facilitating Negotiations, Avoiding Ratification"", https://doi.org/10.7910/DVN/1Z73ZI, Harvard Dataverse, V1",MarkusGastinger,Markus Gastinger Dataverse
doi:10.7910/DVN/207AK5,TRUE,,"Ultra-poor Graduation Midline Survey in Somalia, 2023",RELEASED,1.2,2025-10-28T19:30:05Z,2025-11-12T14:50:23Z,2025-11-12T16:48:43Z,23,"International Food Policy Research Institute (IFPRI), 2025, ""Ultra-poor Graduation Midline Survey in Somalia, 2023"", https://doi.org/10.7910/DVN/207AK5, Harvard Dataverse, V1, UNF:6:ap8iIhVapd4nQfWUo1oOiQ== [fileUNF]",IFPRI,IFPRI Dataverse
doi:10.7910/DVN/2B7UDT,TRUE,,A5208: NNRTI vs PI Regimens for HIV Infected Women After They Have Taken Nevirapine to Prevent Mother-To-Child HIV Transmission (OCTANE) - New England Journal of Medicine 2010,RELEASED,2.1,2026-02-09T16:02:52Z,2026-02-09T18:09:06Z,2026-03-18T16:37:06Z,9,"ACTG Statistical and Data Analysis Center, 2026, ""A5208: NNRTI vs PI Regimens for HIV Infected Women After They Have Taken Nevirapine to Prevent Mother-To-Child HIV Transmission (OCTANE) - New England Journal of Medicine 2010"", https://doi.org/10.7910/DVN/2B7UDT, Harvard Dataverse, V2",ACTG,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections 
doi:10.7910/DVN/2EH7XS,TRUE,,"A5322: Long-Term Follow-up of Older HIV-infected Adults in the ACTG: Addressing Issues of Aging, HIV Infection and Inflammation (HAILO)",RELEASED,5.3,2025-07-11T16:31:13Z,2026-02-09T19:03:04Z,2026-06-17T17:40:42Z,10,"ACTG Statistical and Data Analysis Center, 2025, ""A5322: Long-Term Follow-up of Older HIV-infected Adults in the ACTG: Addressing Issues of Aging, HIV Infection and Inflammation (HAILO)"", https://doi.org/10.7910/DVN/2EH7XS, Harvard Dataverse, V5",ACTG,Advancing Clinical Therapeutics Globally for HIV/AIDS and Other Infections 
doi:10.7910/DVN/2ES4C1,TRUE,,Database of Princely States in British India 1939,RELEASED,1,2026-05-28T05:27:14Z,2026-05-28T12:33:44Z,2026-05-28T12:33:44Z,2,"Jolad, Shivakumar; Kalyani, Gaurav, 2026, ""Database of Princely States in British India 1939"", https://doi.org/10.7910/DVN/2ES4C1, Harvard Dataverse, V1",indiastatestories,India State Stories
doi:10.7910/DVN/2KRJ4Q,TRUE,,Replication Data for: Policy Packages and Public Acceptance of Personal Information Use: Experimental Evidence from the United Kingdom and Japan,DRAFT,DRAFT,2026-01-10T23:57:12Z,,2026-06-27T02:53:10Z,3,"Sunahara, Yosuke, 2026, ""Replication Data for: Policy Packages and Public Acceptance of Personal Information Use: Experimental Evidence from the United Kingdom and Japan"", https://doi.org/10.7910/DVN/2KRJ4Q, Harvard Dataverse, DRAFT VERSION, UNF:6:WXLCpcy57f4g6y0c3WiinA== [fileUNF]",sunaharay,Project Dataverse
doi:10.7910/DVN/2METW0,TRUE,,2020-21 Social Accounting Matrix for Pakistan,RELEASED,1,2025-10-28T13:57:51Z,2026-01-13T16:54:35Z,2026-01-13T16:54:35Z,3,"International Food Policy Research Institute (IFPRI); International Water Management Institute (IWMI), 2025, ""2020-21 Social Accounting Matrix for Pakistan"", https://doi.org/10.7910/DVN/2METW0, Harvard Dataverse, V1, UNF:6:R7U/AN77SjFfxXCDzYBuKA== [fileUNF]",sam,Nexus SAM
doi:10.7910/DVN/2WSILI,TRUE,,"Partisan Bias or Indifference? Panel Survey, Wave 1",RELEASED,2.1,2023-09-09T10:22:27Z,2026-05-19T12:55:01Z,2026-07-09T12:44:14Z,2,"Stanley, Ben, 2024, ""Partisan Bias or Indifference? Panel Survey, Wave 1"", https://doi.org/10.7910/DVN/2WSILI, Harvard Dataverse, V2, UNF:6:CNHtBKyLf6W0CfuvAWIJbw== [fileUNF]",partisanbias,Partisan Bias or Indifference?
doi:10.7910/DVN/3RBKJ0,TRUE,,German Local Legislator Survey 2025,RELEASED,1,2026-08-31T09:25:41Z,2026-09-01T09:23:03Z,2026-09-01T09:23:03Z,2,"Häfner, Leonard; Landwehr, Claudia; Stallbaum, Lea, 2026, ""German Local Legislator Survey 2025"", https://doi.org/10.7910/DVN/3RBKJ0, Harvard Dataverse, V1, UNF:6:0lnTpiZQOAZEEhSoLYetvQ== [fileUNF]",harvard,Harvard Dataverse
doi:10.7910/DVN/3VG3JO,TRUE,,HVTN703/HPTN081 + HVTN704/HPTN085 AMP Trials Genotypic Sieve Analysis,RELEASED,1.1,2024-10-03T22:25:50Z,2025-05-16T00:04:47Z,2026-04-06T17:19:07Z,15,"HVTN SDMC, 2025, ""HVTN703/HPTN081 + HVTN704/HPTN085 AMP Trials Genotypic Sieve Analysis"", https://doi.org/10.7910/DVN/3VG3JO, Harvard Dataverse, V1, UNF:6:/lXuEMMMYkU5qgoQ6zgzSQ== [fileUNF]",amptrials,HVTN703/HPTN081 + HVTN704/HPTN085 AMP Trials Dataverse
doi:10.7910/DVN/4BA95H,TRUE,,Replication Data for: Deputies' assets and their legislative activity (2023-2025),RELEASED,2,2025-10-01T17:52:08Z,2025-10-03T22:10:11Z,2025-10-03T22:10:11Z,38,"Lenhagui Bergamaschi, Pedro, 2025, ""Replication Data for: Deputies' assets and their legislative activity (2023-2025)"", https://doi.org/10.7910/DVN/4BA95H, Harvard Dataverse, V2",deputies-assets-57leg,Deputies assets from the 57th legislature in Brazil
doi:10.7910/DVN/4DV1E3,TRUE,,Atmospheric concentrations of per- and polyfluoroalkyl substances in Michigan's ambient air using passive sampling,RELEASED,1,2025-11-13T20:13:19Z,2025-11-13T21:08:32Z,2025-11-13T21:08:32Z,10,"Woodward, Melissa, 2025, ""Atmospheric concentrations of per- and polyfluoroalkyl substances in Michigan's ambient air using passive sampling"", https://doi.org/10.7910/DVN/4DV1E3, Harvard Dataverse, V1, UNF:6:Ta5D6vcgzcSBdwW+LZhZSA== [fileUNF]",harvard,Harvard Dataverse
