installation_name,known_hostname,working_installation_url,installation_status,something_blocking_api_use,API_token_used,get_installation_version_api_status,dataverse_version,dataverse_version_sanitized,search_api_status,dataset_count,dataset_count_range,sample_dataset_pid,get_dataverse_json_export_api_status,get_metadatablocks_api_status,datacite_client_id
QDR Main Collection,data.qdr.syr.edu,https://data.qdr.syr.edu,405,FALSE,FALSE,OK,6.10.1-qdr,6.10.1,OK,234,100–499,doi:10.5064/F6E1OMLI,OK,OK,gdcc.syr-qdr
RepOD,repod.icm.edu.pl,https://repod.icm.edu.pl,200,FALSE,FALSE,OK,1.1.7-4aa582d4ad59c5d25b0609855fee2bcdb211504c,1.1.7,OK,4126,"1,000–4,999",doi:10.18150/U7KJIR,OK,OK,tib.repod
Dane Badawcze UW,danebadawcze.uw.edu.pl,https://danebadawcze.uw.edu.pl,200,FALSE,FALSE,OK,1.1.6-869f5dc4d3e5cc4a9c2e65748a8d34927d347cd7,1.1.6,OK,575,500–999,doi:10.58132/8AR81V,OK,OK,repod.dbuw
CIRAD Dataverse,dataverse.cirad.fr,https://dataverse.cirad.fr,200,FALSE,TRUE,OK,6.6,6.6,OK,976,500–999,doi:10.18167/DVN1/TYPJG4,OK,OK,inist.cirad
CORA. Research Data Repository (RDR),dataverse.csuc.cat,https://dataverse.csuc.cat,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,2284,"1,000–4,999",doi:10.34810/DATA2527,OK,OK,gdcc.csuc
Harvard Dataverse,dataverse.harvard.edu,https://dataverse.harvard.edu,202,FALSE,FALSE,OK,6.10.1,6.10.1,OK,114952,"100,000–199,999",doi:10.7910/DVN/JRKZR6,OK,OK,gdcc.harvard-dv
JPL Open Repository,dataverse.jpl.nasa.gov,https://dataverse.jpl.nasa.gov,200,FALSE,FALSE,OK,5.14,5.14,OK,47647,"10,000–99,999",doi:10.48577/jpl.VAPWIZ,OK,OK,jams.rurlqc
HeiDATA,heidata.uni-heidelberg.de,https://heidata.uni-heidelberg.de,200,FALSE,TRUE,OK,6.9,6.9,OK,768,500–999,doi:10.11588/DATA/BLF2J3,OK,OK,gesis.ubhd
DATADOI,datadoi.ee,https://datadoi.ee,200,FALSE,FALSE,OK,6.10.1,6.10.1,OK,449,100–499,doi:10.23673/HKYC8R,OK,OK,estdoi.repo
George Mason University Dataverse,dataverse.orc.gmu.edu,https://dataverse.orc.gmu.edu,200,FALSE,FALSE,OK,6.5,6.5,OK,72,0–99,doi:10.13021/ORC2020/V9XGTV,OK,OK,gmu.ulibry
