datasetVersionId,persistentUrl,persistent_id,authorName,authorAffiliation,authorIdentifierScheme,authorIdentifier
4657,https://hdl.handle.net/1902.29/D-33535,,"Center for Survey Research, The Ohio State University",,,
4432,https://hdl.handle.net/1902.29/D-31103,,A. Alfred Taubman Center for Public Policy and American Institutions. Brown University,,,
1872,https://hdl.handle.net/1902.29/D-17542,,"Martin-Baro, Ignacio",,,
5310,https://hdl.handle.net/1902.29/11112,,"Borg, Sami",International Federation of Data Organizations,,
1617,https://hdl.handle.net/1902.29/10632,,Abdul Aziz Nurussadad,Bogor Agricultural University (IPB),,
810,https://hdl.handle.net/1902.29/10318,,State Center for Health Statistics,,,
2107,https://hdl.handle.net/1902.29/10806,,Survey Research Center,University of Georgia,,
3568,https://hdl.handle.net/1902.29/CAPS-ADJCHKL,,N/A,,,
31131,https://doi.org/10.15139/S3/I3XOD9,,"Gere, Judith",Kent State University,,
31016,https://doi.org/10.15139/S3/AXP7QR,,"Reis, Harry",University of Rochester,ORCID,0000-0002-3542-6074
4725,https://hdl.handle.net/1902.29/D-17297,,Independent Opinion Research,,,
795,https://hdl.handle.net/1902.29/10297,,State Center for Health Statistics,,,
1762,https://hdl.handle.net/1902.29/10774,,Department of Defense,United States,,
2772,https://hdl.handle.net/1902.29/H-822032,,"Louis Harris and Associates, Inc.",,,
2692,https://hdl.handle.net/1902.29/H-792801,,"Louis Harris and Associates, Inc.",,,
2692,https://hdl.handle.net/1902.29/H-792801,,United States,,,
3399,https://hdl.handle.net/1902.29/CAPS-LIFEEXP,,N/A,,,
3050,https://hdl.handle.net/1902.29/H-901202,,"Louis Harris and Associates, Inc.",,,
4621,https://hdl.handle.net/1902.29/D-33473,,"Center for Survey Research, The Ohio State University",,,
1291,https://hdl.handle.net/1902.29/11843,,"Hsieh, Jui-Hua",NTP,,
3662,https://hdl.handle.net/1902.29/CD-0070,,U.S. Department of Commerce,,,
3662,https://hdl.handle.net/1902.29/CD-0070,,U.S. Bureau of the Census,,,
31561,https://doi.org/10.15139/S3/DTK8SR,,City of Anchorage,,,
25362,https://doi.org/10.15139/S3/12114,,"Donovan, Todd",Western Washington University,,
25362,https://doi.org/10.15139/S3/12114,,"Bowler, Shaun","University of California, Riverside",,
4286,https://hdl.handle.net/1902.29/AJC8912,,Atlanta Journal-Constitution,,,
3382,https://hdl.handle.net/1902.29/CAPS-CONRELIG,,N/A,,,
935,https://hdl.handle.net/1902.29/11177,,"Fillingim, Roger B.","Department of Community Dentistry & Behavioral Science, College of Dentistry, University of Florida",,
935,https://hdl.handle.net/1902.29/11177,,"Ohrbach, Richard","Department of Oral Diagnostic Sciences, University at Buffalo",,
935,https://hdl.handle.net/1902.29/11177,,"Greenspan, Joel D.","Department of Neural and Pain Sciences & Brotman Facial Pain Center, University of Maryland Dental School",,
935,https://hdl.handle.net/1902.29/11177,,"Knott, Charles","Battelle Memorial Institute, Centers for Public Health Research and Evaluation",,
935,https://hdl.handle.net/1902.29/11177,,"Dubner, Ronald","Department of Neural and Pain Sciences & Brotman Facial Pain Center, University of Maryland Dental School",,
935,https://hdl.handle.net/1902.29/11177,,"Bair, Eric","Center for Pain Research and Innovation, Departments of Biostatistics and Endodontics, University of North Carolina at Chapel Hill",,
935,https://hdl.handle.net/1902.29/11177,,"Slade, Gary D.","Center for Pain Research and Innovation, Departments of Dental Ecology and Epidemiology, University of North Carolina at Chapel Hill",,
935,https://hdl.handle.net/1902.29/11177,,"Maixner, William","Center for Pain Research and Innovation, Departments of Endodontics and Pharmacology, University of North Carolina at Chapel Hill",,
935,https://hdl.handle.net/1902.29/11177,,"Smith, Shad B.","Center for Pain Research and Innovation, University of North Carolina at Chapel Hill",,
935,https://hdl.handle.net/1902.29/11177,,"Diatchenko, Luda","Alan Edwards Centre for Research on Pain, McGill University",,
935,https://hdl.handle.net/1902.29/11177,,"Weir, Bruce","Department of Biostatistics, University of Washington",,
29315,https://doi.org/10.15139/S3/T7QAIR,,"Measurement, Learning & Evaluation Project","Carolina Population Center, UNC-CH",,
4494,https://hdl.handle.net/1902.29/D-20260,,"Cotter, Patrick",,,
1502,https://doi.org/10.15139/S3/12201,,Monmouth University Polling Institute,Monmouth University,,
3641,https://hdl.handle.net/1902.29/D-30470,,"School of Journalism, University of North Carolina at Chapel Hill",,,
2944,https://hdl.handle.net/1902.29/H-871108,,"Louis Harris and Associates, Inc.",,,
30864,https://doi.org/10.15139/S3/QJVAYU,,"De La Cerda, Nicolas",University of North Carolina at Chapel Hill,,
5051,https://hdl.handle.net/1902.29/D-16128,,G. S. Black,,,
5051,https://hdl.handle.net/1902.29/D-16128,,USA Today Newspaper,,,
4703,https://hdl.handle.net/1902.29/D-20056,,"Hougland, Jr., James",,,
3881,https://hdl.handle.net/1902.29/CD-10921,,U.S. Department of Commerce,,,
3881,https://hdl.handle.net/1902.29/CD-10921,,U.S. Bureau of the Census,,,
3458,https://hdl.handle.net/1902.29/CAPS-NEO,,N/A,,,
5182,https://hdl.handle.net/1902.29/10696,,"Lovtsova, N",,,
4244,https://hdl.handle.net/1902.29/D-30700,,"Center for Public Interest Polling, Eagleton Institute of Politics, Rutgers University",,,
5102,https://hdl.handle.net/1902.29/D-16258,,G. S. Black,,,
5102,https://hdl.handle.net/1902.29/D-16258,,USA Today Newspaper,,,
4549,https://hdl.handle.net/1902.29/D-33412-CONT1,,"School of Journalism and Mass Communication, University of North Carolina at Chapel Hill",,,
29324,https://doi.org/10.15139/S3/WYO3KU,,"Goranson, Amelia",University of North Carolina at Chapel Hill,,
31621,https://doi.org/10.15139/S3/WCLFWZ,,Ragerlab,UNC,ORCID,UNC
3302,https://hdl.handle.net/1902.29/11634,,"Harris Interactive, Inc.",,,
5205,https://hdl.handle.net/1902.29/10650,,"Katende, C",,,
5205,https://hdl.handle.net/1902.29/10650,,"Knight, R",,,
5205,https://hdl.handle.net/1902.29/10650,,"Gardner, R",,,
5205,https://hdl.handle.net/1902.29/10650,,"Lubale, M",,,
5205,https://hdl.handle.net/1902.29/10650,,"Lettenmaier, C",,,
5205,https://hdl.handle.net/1902.29/10650,,"Buckner, B",,,
5205,https://hdl.handle.net/1902.29/10650,,"Paeratakul, C",,,
5205,https://hdl.handle.net/1902.29/10650,,"Elkins, C",,,
921,https://hdl.handle.net/1902.29/11170,,"Fillingim, Roger B.","Department of Community Dentistry & Behavioral Science, College of Dentistry, University of Florida",,
921,https://hdl.handle.net/1902.29/11170,,"Ohrbach, Richard","Department of Oral Diagnostic Sciences, University at Buffalo",,
921,https://hdl.handle.net/1902.29/11170,,"Greenspan, Joel D.","Department of Neural and Pain Sciences & Brotman Facial Pain Center, University of Maryland Dental School",,
921,https://hdl.handle.net/1902.29/11170,,"Knott, Charles","Battelle Memorial Institute, Centers for Public Health Research and Evaluation",,
921,https://hdl.handle.net/1902.29/11170,,"Dubner, Ronald","Department of Neural and Pain Sciences & Brotman Facial Pain Center, University of Maryland Dental Schoolland Dental School",,
