datasetVersionId,persistentUrl,persistent_id,dateOfDeposit
5310,https://hdl.handle.net/1902.29/11112,,2012-11-01
1617,https://hdl.handle.net/1902.29/10632,,2011-03-09
2107,https://hdl.handle.net/1902.29/10806,,2011-09-07
31131,https://doi.org/10.15139/S3/I3XOD9,,2019-10-31
31016,https://doi.org/10.15139/S3/AXP7QR,,2019-09-04
1762,https://hdl.handle.net/1902.29/10774,,2011-07-18
1291,https://hdl.handle.net/1902.29/11843,,2016-06-19
31561,https://doi.org/10.15139/S3/DTK8SR,,2020-09-14
25362,https://doi.org/10.15139/S3/12114,,2015-11-05
935,https://hdl.handle.net/1902.29/11177,,2013-02-15
29315,https://doi.org/10.15139/S3/T7QAIR,,2017-02-22
1502,https://doi.org/10.15139/S3/12201,,2016-02-22
30864,https://doi.org/10.15139/S3/QJVAYU,,2019-04-26
3881,https://hdl.handle.net/1902.29/CD-10921,,2012-02-07
5182,https://hdl.handle.net/1902.29/10696,,2011-04-19
29324,https://doi.org/10.15139/S3/WYO3KU,,2017-02-28
31621,https://doi.org/10.15139/S3/WCLFWZ,,2020-11-25
3302,https://hdl.handle.net/1902.29/11634,,2014-02-25
5205,https://hdl.handle.net/1902.29/10650,,2011-04-04
921,https://hdl.handle.net/1902.29/11170,,2013-02-11
5218,https://hdl.handle.net/1902.29/11301,,2013-04-30
3994,https://hdl.handle.net/1902.29/CD-11500,,2013-08-01
3298,https://hdl.handle.net/1902.29/H-37767,,2013-04-12
593,https://hdl.handle.net/1902.29/11722,,2014-05-19
5355,https://hdl.handle.net/1902.29/11889,,2014-12-08
196,https://doi.org/10.15139/S3/11939,,2015-02-26
31203,https://doi.org/10.15139/S3/BX0RZE,,2019-01-29
5220,https://hdl.handle.net/1902.29/11397,,2013-06-10
385,https://hdl.handle.net/1902.29/11757,,2014-07-07
30915,https://doi.org/10.15139/S3/GKH2QD,,2019-06-19
1231,https://hdl.handle.net/1902.29/11687,,2014-04-28
