datasetVersionId,persistentUrl,persistent_id,dsDescriptionValue,dsDescriptionDate
4657,https://hdl.handle.net/1902.29/D-33535,,"<p>Maintains inquiries regarding media exposure, political affiliation, telephone service, and level of educational attainment. The main theme of this survey is the use of computer technology in daily life, specifically how often computers, PDAs, mobile phones, and other technological goods are utilized and to what purpose.</p>",
4432,https://hdl.handle.net/1902.29/D-31103,,"<p>This statewide survey focussed on Rhode Island residents' opinion regarding the state of the local economy. Other variables measure opinion on federal government, block grants, and local boards and commissions. Standard demographic variables were also included.</p>",
1872,https://hdl.handle.net/1902.29/D-17542,,<p>Public opinion on employment and unemployment in El Salvador.</p>,
5310,https://hdl.handle.net/1902.29/11112,,"The rapidly growing number of digital research data and developing scientific methods has challenged science policy makers and research funders to seek tools for increasing openness and sharing of research data.  In some countries, academic research funders have adopted formal data policies to guide data management and data sharing in new research projects.    The International Federation of Data Organizations for Social Science (IFDO) conducted an international web-based survey of data professionals to gather information on the institutional policies of social sciences and humanities in different countries and to collect and locate sources for a more detailed analysis.",2012
1617,https://hdl.handle.net/1902.29/10632,,Merupakan Contoh Analisis Sirkular untuk menduga hubungan antara arah dan jarak pada daerah kawasan rawan bencana,2011-03-09
810,https://hdl.handle.net/1902.29/10318,,"<p>The North Carolina State Center for Health Services (SCHS) collects yearly vital statistics. The Odum Institute holds vital statistics beginning in 1968 for births, fetal deaths, deaths, birth/infant deaths, marriages and divorce. Public marriage and divorce data are available through 1999 only.</p><p>North Carolina law defines marriage as the legal union of a male and a female (G.S. 51-1). Legal divorce or annulment can occur only by decree of an authorized court. Annulments, which void marr
iage from the beginning, constitute less than one percent of the sum of these events. A divorce from bed and board is a judicial separation suspending cohabitation but not otherwise affecting the marriage bond. Divorces from bed and board are not included in these files. This study focuses on North Carolina divorces for 1984. Data includes information on the age and race of the plaintiff; information on the number of minor children; grounds for divorce; as well as the place, state, and date of the marriage.
</p><p>The data is strictly numerical, there is no identifying information given about the individuals.</p>",
2107,https://hdl.handle.net/1902.29/10806,,"The Georgia Poll is a telephone survey of adult residents in Georgia conducted by the Survey Research Center (SRC). The purpose was to learn the attitudes and opinions of Georgia residents towards several key sets of questions, and information about local and national affairs.",2007-11-11
3568,https://hdl.handle.net/1902.29/CAPS-ADJCHKL,,"<p>This 300-item personality scale consists of adjectives to which the respondent is to respond Y if the item is descriptive of him/herself and N if it is not. Subscales include number of items to which answer was Y, number of favorable items, number of unfavorable items, communality, achievement, dominance, endurance, intraception, nurturance, affiliation, heterosexuality, exhibition, autonomy, aggression, change, succorance, abasement, deference, counseling readiness, self-control, self-confid
ence, personal adjustment, ideal self, creative personality, military leader, masculine, feminine, critical parent, nurturing parent, adult, free child, adapted child, origence, and intellectence.
</p><p>Scoring information. The following data step performs the necessary transformations to the thirty-seven raw scale sums of the Gough Adjective Check List. Procedures for doing the transformations are also described by Swede, l983. Three quantities necessary for the transformation were calculated separately for males and females. The mean and standard deviation of each scale were determined. The correlation of the first scale (number of adjectives checked) with each of the other scales was
calculated. The appropriate male or female value for these quantities was then used to transform each respondent's rating for each scale. The respondent's raw scale value was standardized by subtracting that scale's mean and dividing by the scale's standard deviation. The variance due to the number of adjectives checked was partialled out (Nunnally, 1967) by subtracting the product of the standardized scale times the correlation of that scale with the number of adjectives checked from the
standardized scale. The adjusted scale was restandardized by dividing by the square root of one minus the correlation squared (the variance remaining in the scale after the variance due to number of adjectives has been removed). this result was converted to a T-score (mean=50, standard deviation=10.0, and zero correlation with number of adjectives checked) by multiplying times ten and adding fifty. See codebook for additional information
</p>",
31131,https://doi.org/10.15139/S3/I3XOD9,,"Data come from 73 romantic couples (146 people), mainly student population (mean age early 20s) who completed an intake session, 10 daily reports that were completed only on days partners spent time together, and an exit session. Data was collected in Toronto, Canada and is ethnically diverse.
<br><br>
Intake questionnaires completed: <br>
Demographic and romantic relationship information<br>
Big Five<br>
Life satisfaction<br>
Positive and negative affect<br>
About the romantic relationship (all assessed via Network of Relationships Inventory): companionship, satisfaction, pressure, conflict, emotional support, criticism, approval, exclusion, relative power, antagonism, nurturance, affection, commitment, provides secure base, seeks secure base <br>
Participants open-endedly listed 6 goals they are pursuing and rated each goal on: joy from pursuit, goal ambivalence, commitment, importance, effort, difficulty, clarity, progress, relationship influence on goal (good/bad for goal), shared goal with partner, partner instrumentality, partner obstruction, conflict with partner's goals<br>
Informant ratings of partner Big Five, life satisfaction, positive and negative affect<br>
Listing of 6 goals pursued by partner<br>
Conflict between each pair of own goals paired with each partner goal <br>
Physical symptoms<br>
Approach and avoidance relationship motives<br>
Attachment style (relationship specific)<br>
Relationship rewards and threats (STARS scale)<br>
<br>
Exit questionnaires completed:<br>
Life satisfaction<br>
Positive and negative affect<br>
Physical symptoms<br>
About the romantic relationship (all assessed via Network of Relationships Inventory): companionship, satisfaction, pressure, conflict, emotional support, criticism, approval, exclusion, relative power, antagonism, nurturance, affection, commitment, provides secure base, seeks secure base<br>
Relationship rewards and threats (STARS scale)<br>
Informant reports of partner life satisfaction, positive and negative affect<br>
For each of the 6 goals listed during the intake session: continued pursuit, goal importance, goal commitment, conflict with partner's goals<br><br>

Daily diary questionnaires completed:<br>
Positive and negative affect<br>
Feeling conflicted<br>
Goal progress<br>
Relationship satisfaction<br>
Relationship commitment<br>
Daily physical symptoms<br>
Overall rating of day (terrible day to excellent day)<br>
List either first or last activity done together with partner<br>
Rating of the specific activity listed: meet own goals, meet partner's goals, positive and negative affect, feeling conflicted, goal progress, relationship satisfaction, relationship commitment, autonomy, own goals pursued during activity, progress towards own goals pursued during activity, importance of goal pursued during activity, partner facilitation/obstruction of goals during activity<br><br>

Approved by ethics board of University of Toronto, protocol #25809",2019
31016,https://doi.org/10.15139/S3/AXP7QR,,"This data set contains data from 175 newlywed couples assessed in the first year of marriage (approximately). They were selected from around the United States and Canada. All are heterosexual. They completed a baseline packet of measures, a daily diary twice (for 2 weeks each time, separated by one year), and followups at 6, 12, and 18 months. The study was approved by the University of Rochester Research Subjects Review Board #RSRB00029133.",2019-09-04
