datasetVersionId,persistentUrl,persistent_id,notesText
4657,https://hdl.handle.net/1902.29/D-33535,,"Subject: Study Level Error Note, Notes: Telephone survey.; Universe: Ohio residents.;Subject: STANDARD DEPOSIT TERMS 1.0 Type: DATAPASS:TERMS:STANDARD:1.0 Notes: This study was deposited under the terms of the Data-PASS standard deposit terms. A copy of the usage agreement is included in the file section of this study.;"
4432,https://hdl.handle.net/1902.29/D-31103,,"Subject: Study Level Error Note, Notes: Residents of Rhode Island 18 years of age or older with a telephone.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
1872,https://hdl.handle.net/1902.29/D-17542,,Type: ODUM:ACCESS.CATEGORY Notes: II;
1617,https://hdl.handle.net/1902.29/10632,,Version Date: 2011-03-09Version Text: 1
810,https://hdl.handle.net/1902.29/10318,,Version Date: 1984Version Text: Divorces
4725,https://hdl.handle.net/1902.29/D-17297,,"Subject: Study Level Error Note, Notes: Random digit dialing telephone survey of residents living in North Carolina 18 years of age or older, who are registered to vote.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: 74-086;"
795,https://hdl.handle.net/1902.29/10297,,Version Date: 1999Version Text: Marriages
2772,https://hdl.handle.net/1902.29/H-822032,,"Subject: Study Level Error Note, Notes: Harris telephone surveys use a form of random digit dialing. From a random multi-stage cluster sampling design, they obtain a national cross-section of U.S. adults. Interviewers are usually given the first five digits of a series of randomly selected residential telephone numbers that have previously been stratified by geographic locations, including minor civil divisions. The interviewer then adds two randomly generated digits to complete a new seven-digit number;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-8220-32;"
2692,https://hdl.handle.net/1902.29/H-792801,,"Subject: Study Level Error Note, Notes: Four samples were included in this survey: (1) cross section of 2,563 adults nationwide; (2) representative sample of 2,464 Vietnam era veterans (including some 1,176 veterans of the Vietnam conflict), (3) 510 educators, and (4) 1,000 employers.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-792801;"
3050,https://hdl.handle.net/1902.29/H-901202,,"Subject: Study Level Error Note, Notes: Systematic Random Selection of CEOs from top 1,000 companies as ranked by Business Week Magazine;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-901202;"
4621,https://hdl.handle.net/1902.29/D-33473,,"Subject: Study Level Error Note, Notes: Telephone survey.; Universe: Ohio residents of voting age.;Subject: STANDARD DEPOSIT TERMS 1.0 Type: DATAPASS:TERMS:STANDARD:1.0 Notes: This study was deposited under the terms of the Data-PASS standard deposit terms. A copy of the usage agreement is included in the file section of this study.;"
3662,https://hdl.handle.net/1902.29/CD-0070,,"Subject: Study Level Error Note, Notes: Data has been gathered from the 2000 Decennial Census of Population and Housing;Type: ODUM:CODEBOOK.NUMBER Notes: 14-4-RHLSF-CD;"
31561,https://doi.org/10.15139/S3/DTK8SR,,"The plan can be found at the following link: www.muni.org/visionzero (as of September 14, 2020)"
25362,https://doi.org/10.15139/S3/12114,,This dataset underwent an independent verification process that replicated the tables and figures in the primary article. The verification process was carried out by the Odum Institute for Research in Social Science at the University of North Carolina at Chapel Hill.
4286,https://hdl.handle.net/1902.29/AJC8912,,Type: ODUM:ACCESS.CATEGORY Notes: I;
4494,https://hdl.handle.net/1902.29/D-20260,,"Subject: Study Level Error Note, Notes: Statewide RDD telephone survey.; Universe: Alabama residents of voting age.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
3641,https://hdl.handle.net/1902.29/D-30470,,"Subject: Study Level Error Note, Notes: Telephone survey of adult North Carolinians (age 18+), using next-birthday method of respondent selection within a random sample of households.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
2944,https://hdl.handle.net/1902.29/H-871108,,"Subject: Study Level Error Note, Notes: Harris telephone surveys use a form of random digit dialing. From a random multi-stage cluster sampling design, they obtain a national cross-section of U.S. adults. Interviewers are usually given the first five digits of a series of randomly selected residential telephone geographic locations, including minor civil divisions. The interviewer then adds two randomly generated digits to complete a new seven-digit number.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-871108;"
5051,https://hdl.handle.net/1902.29/D-16128,,"Subject: Study Level Error Note, Notes: No specific information available.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
4703,https://hdl.handle.net/1902.29/D-20056,,"Subject: Study Level Error Note, Notes: Statewide telephone survey.; Universe: Adults aged 18 and over living in households with telephones within the state of Kentucky.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
3881,https://hdl.handle.net/1902.29/CD-10921,,Type: ODUM:CODEBOOK.NUMBER Notes: 14-1-1990-BLOCK-2-CD;Type: Uniform title Notes: Census of population and housing (1990). Block statistics.;
4244,https://hdl.handle.net/1902.29/D-30700,,"Subject: Study Level Error Note, Notes: Data were collected using the Random Digit Dialing telephone technique.; Universe: Survey of the New Jersey adult population, aged 18 and older.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
5102,https://hdl.handle.net/1902.29/D-16258,,"Subject: Study Level Error Note, Notes: No specific information available;Type: ODUM:ACCESS.CATEGORY Notes: I;"
4549,https://hdl.handle.net/1902.29/D-33412-CONT1,,Type: ODUM:ACCESS.CATEGORY Notes: II;Type: ODUM:CODEBOOK.NUMBER Notes: 37-182;
3302,https://hdl.handle.net/1902.29/11634,,"Subject: Study Level Error Note, Notes: National cross-sectional sample of persons 18 years of age or older interviewed by telephone.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-43567;"
1696,https://hdl.handle.net/1902.29/D-33409,,"Subject: Study Level Error Note, Notes: The data consist of enumeration and characteristics of bills and legislators in the selected years;Type: ODUM:ACCESS.CATEGORY Notes: II;"
3994,https://hdl.handle.net/1902.29/CD-11500,,"Subject: Study Level Error Note, Notes: Contains data not available for the first NHANES III release, for persons ages 2 months and older, as well as electrocardiography data from NHANES I, II, and III.;Type: ODUM:CODEBOOK.NUMBER Notes: 47-011-1988-1994-CD;Type: ODUM:SOURCE.OF.DATA Notes: Contains data not available for the first NHANES III release, for persons ages 2 months and older, as well as electrocardiography data from NHANES I, II, and III.;"
3298,https://hdl.handle.net/1902.29/H-37767,,"Subject: Study Level Error Note, Notes: National cross-sectional sample of persons 18 years of age or older interviewed by telephone.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-37767;"
1814,https://hdl.handle.net/1902.29/D-1345,,"Subject: Study Level Error Note, Notes: Survey used a subsample from a national representative stratified cluster area sample. The household sample was selected using one area stage (370 segments) in 15 large urban areas, and using two area stages (35 """"municipios"""" and 628 segments) in 35 smaller urban and rural areas. The sample for the individual interview consists of a systematic selection within each segment of women aged 15 to 49, irrespective of martial status, who had slept the previous night in the household.; Women aged 15 to 49;Type: ODUM:NOTES.RESTRICTS Notes: Data are restricted to general public. Permission to use the data is required from the host country.;Type: ODUM:GEO.INDEX.TERMS Notes: Columbia;"
2283,https://hdl.handle.net/1902.29/H-P3735,,"Subject: Study Level Error Note, Notes: Harris used a random multi-stage cluster sampling design to obtain a national cross-section sample of the U.S. population 18 years and over. Attitudes on various topics were collected by questionnaire in a face-to-face interview.; U.S. adults 18 years and over;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-P3735;Type: ODUM:COND.OF.DATA Notes: Codes for open-ended questions missing;"
1869,https://hdl.handle.net/1902.29/D-17538,,Type: ODUM:ACCESS.CATEGORY Notes: II;
3047,https://hdl.handle.net/1902.29/H-901108,,"Subject: Study Level Error Note, Notes: National multi-stage cross-section of U.S. adults -- interviewed by telephone.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-901108;"
3116,https://hdl.handle.net/1902.29/H-913001,,"Subject: Study Level Error Note, Notes: Stratified systematic random selection from a predefined list;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-913001;"
1376,https://hdl.handle.net/1902.29/D-31256,,"Subject: Study Level Error Note, Notes: Data were collected using Random Digit Dialing and Computer-Administered Telephone Interview (CATI) techniques.; Universe: Survey of the adult population 18 years and older living in the State of Indiana.;Type: ODUM:ACCESS.CATEGORY Notes: II;"
2454,https://hdl.handle.net/1902.29/H-1866,,"Subject: Study Level Error Note, Notes: Harris collected a cross-section sample of community leaders. Attitudes on various topics were collected by questionnaire in a face- to-face interview; Community leaders;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-1866;"
3922,https://hdl.handle.net/1902.29/CD-10992,,"Subject: Study Level Error Note, Notes: Data are obtained from certificates filed for births occurring in each State. During 1968-71, data were obtained from a 50-percent sample of certificates. Starting in 1972, all records were included for States that participated in the Vital Statistics Cooperative Program (VSCP). Beginning in 1985, all States and the District of Columbia participated in VSCP.; All live births in the United States during calendar year 1979.;Type: ODUM:ACCESS.CATEGORY Notes: II;Type: ODUM:CODEBOOK.NUMBER Notes: 47-114-1973-CD;"
2945,https://hdl.handle.net/1902.29/H-871202,,"Subject: Study Level Error Note, Notes: Harris telephone surveys use a form of random digit dialing. From a random multi-stage cluster sampling design, they obtain a national cross-section of U.S. adults. Interviewers are usually given the first five digits of a series of randomly selected residential telephone geographic locations, including minor civil divisions. The interviewer then adds two randomly generated digits to complete a new seven-digit number.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-871202;"
4956,https://hdl.handle.net/1902.29/D-16222,,"Subject: Study Level Error Note, Notes: No specific information available;Type: ODUM:ACCESS.CATEGORY Notes: I;"
4154,https://hdl.handle.net/1902.29/D-30585,,"Subject: Study Level Error Note, Notes: Telephone survey of adult North Carolinians age (age 18+), using next birthday method of respondent selection within a random sample of households.;Type: ODUM:ACCESS.CATEGORY Notes: II;"
3128,https://hdl.handle.net/1902.29/H-921106,,"Subject: Study Level Error Note, Notes: National cross-section of U.S. adults 18 years or older.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-921106;"
2229,https://hdl.handle.net/1902.29/H-2324,,"Subject: Study Level Error Note, Notes: Harris used a random multi-stage cluster sampling design to obtain a national cross-section sample of the U.S. population 18 years and over. Attitudes on various topics were collected by questionnaire in a face-to-face interview; U.S. adults 18 years and over;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-2324;"
5060,https://hdl.handle.net/1902.29/D-16152,,"Subject: Study Level Error Note, Notes: No specific information available.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
4332,https://hdl.handle.net/1902.29/D-30911,,"Subject: Study Level Error Note, Notes: Residents of Kentucky ages 18 and older in households with telephones. The data file includes county residence and data may be aggregated to rural and urban areas.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
2795,https://hdl.handle.net/1902.29/H-828440,,"Subject: Study Level Error Note, Notes: National cross-section of Physicians.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-828440;"
4686,https://hdl.handle.net/1902.29/D-20038,,"Subject: Study Level Error Note, Notes: Statewide telephone survey.; Universe: Adults aged 18 and over living in households with telephones within the state of Kentucky.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
2232,https://hdl.handle.net/1902.29/H-2330,,"Subject: Study Level Error Note, Notes: Harris used a random multi-stage cluster sampling design to obtain a national cross-section sample of the U.S. population 18 years and over. Attitudes on various topics were collected by questionnaire in a face-to-face interview; U.S. adults 18 years and over;Type: ODUM:CODEBOOK.NUMBER Notes: H-2330;"
5040,https://hdl.handle.net/1902.29/D-16146,,"Subject: Study Level Error Note, Notes: No specific information available.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
2708,https://hdl.handle.net/1902.29/H-802114,,"Subject: Study Level Error Note, Notes: Harris obtained a cross-section sample of the U.S. population 18 years and over. An oversample of Democratic and Independent voters was included. Attitudes on various topics were collected by questionnaire in a telephone interview; U.S. adults 18 years and over;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-802114;Type: ODUM:COND.OF.DATA Notes: ""Part of the questionnaire is missing; note says to see pink tack-on 802518."";Type: ODUM:RELATED.MRDF Notes: Harris survey No. 802518;"
2267,https://hdl.handle.net/1902.29/H-A027,,"Subject: Study Level Error Note, Notes: Harris used a random multi-stage cluster sampling design to obtain a national cross-section sample of the U.S. population 16 years and over. Attitudes on various topics were collected by questionnaire in a face-to-face interview; U.S. adults 16 years and over;Type: ODUM:ACCESS.CATEGORY Notes: III;Type: ODUM:CODEBOOK.NUMBER Notes: H-A027;Type: ODUM:NOTES.RESTRICTS Notes: Data restricted pending written permission from the Research Center of the Arts, Inc. through the Louis Harris Data Center, University of North Carolina at Chapel Hill.;"
2693,https://hdl.handle.net/1902.29/H-794022,,"Subject: Study Level Error Note, Notes: Telephone interviews with a national cross-section of adults, 18 years and older;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: h-794022;"
4158,https://hdl.handle.net/1902.29/D-30591,,"Subject: Study Level Error Note, Notes: Random digit dialing telephone survey of residents living in North Carolina 18 years of age or older, who are registered to vote.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
4962,https://hdl.handle.net/1902.29/D-16236,,"Subject: Study Level Error Note, Notes: No specific information available;Type: ODUM:ACCESS.CATEGORY Notes: I;"
30993,https://doi.org/10.15139/S3/XGXRXA,,This file contains varied measures collected from 2002 to 2018. Please see the codebook for details.
653,https://hdl.handle.net/1902.29/10189,,Version Date: 1985Version Text: Deaths
3698,https://hdl.handle.net/1902.29/CD-0088,,"Subject: Study Level Error Note, Notes: The CD includes data compiled from the 1997 Economic Census.;Type: ODUM:CODEBOOK.NUMBER Notes: 30-RS-1997-2D-CD;"
3216,https://hdl.handle.net/1902.29/H-941403,,"Subject: Study Level Error Note, Notes: RDD telephone survey of 18 year olds living in the New York City.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-941403;"
3811,https://hdl.handle.net/1902.29/CD-0158,,Type: ODUM:ACCESS.CATEGORY Notes: II;
3846,https://hdl.handle.net/1902.29/CD-0191,,"Subject: Study Level Error Note, Notes: The survey utilized a multistage probability sample design. Primary sampling units (PSUs) were selected in the first stage, physician practices within PSUs in the second stage, and patient visits to selected physicians in the third stage. The basic sampling unit is the physician-patient encounter visit.; ""Office visits made within the United States to physicians who met the following criteria: office-based, as defined by the AMA and AOA; principally engaged in patient care activities; nonfederally employed; and not in specialties of anesthesiology, pathology, and radiology."";Type: ODUM:CODEBOOK.NUMBER Notes: 47-008-2003-CD;Type: ODUM:SOURCE.OF.DATA Notes: Questionnaires completed by physicians;"
4375,https://hdl.handle.net/1902.29/D-31074,,"Subject: Study Level Error Note, Notes: Residents of Rhode Island 18 years of age or older with a telephone.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
31061,https://doi.org/10.15139/S3/EMAEGC,,Please see attachment for clearer overview.
2217,https://hdl.handle.net/1902.29/H-792118,,"Subject: Study Level Error Note, Notes: Harris obtained a cross-section sample of the U.S. population 18 years and over. An oversample of voter-only Democrats was included. Attitudes on various topics were collected by questionnaire in a telephone interview.; U.S. adults 18 years and over;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-792118;Type: ODUM:COND.OF.DATA Notes: A note is enclosed to see page 4 of white questionnaire 795533 for factual questions.;Type: ODUM:RELATED.MRDF Notes: Harris survey 795533;"
29762,https://doi.org/10.15139/S3/AFQJSN,,"<p>Files are zipped using 7-Zip file archiver. If you do not already have this application, please download it here: http://www.7-zip.org/ </p>"
1773,https://hdl.handle.net/1902.29/D-1021,,"Subject: Study Level Error Note, Notes: This survey is an exit poll. 238 interviews were done face-to-face, which is the usual method used in these studies, and 463 were self- administered and placed in a dummy ballot box. One interviews modality was not known. One of the purposes of this exit poll was to test modalities.;Type: ODUM:ACCESS.CATEGORY Notes: II;"
3645,https://hdl.handle.net/1902.29/CD-0228,,"Subject: Study Level Error Note, Notes: Live births in the United States during calendar year 2002;Type: ODUM:CODEBOOK.NUMBER Notes: 47-005-2001-CD;Type: ODUM:SOURCE.OF.DATA Notes: Official certificates of live births, and state computer records;"
1806,https://hdl.handle.net/1902.29/D-1217,,Type: ODUM:CODEBOOK.NUMBER Notes: 31-015;
4007,https://hdl.handle.net/1902.29/C-100,,"Subject: Study Level Error Note, Notes: All persons and housing units in the United States;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:STRUCTURE.FILE:SORT.SEQUENCE Notes: The file is sorted by level of geographic hierarchy.;"
4466,https://hdl.handle.net/1902.29/D-31418,,"Subject: Study Level Error Note, Notes: This survey used a sample of adult residents of Georgia.;Type: ODUM:ACCESS.CATEGORY Notes: II;"
4450,https://hdl.handle.net/1902.29/D-31132,,"Subject: Study Level Error Note, Notes: The survey used random digit dialing and twostage telephone interviews of adult residents of Florida;Type: ODUM:ACCESS.CATEGORY Notes: II;"
2748,https://hdl.handle.net/1902.29/H-818410,,"Subject: Study Level Error Note, Notes: The survey used a random sample of senior executives;Type: ODUM:ACCESS.CATEGORY Notes: II;Type: ODUM:CODEBOOK.NUMBER Notes: H-818410;"
2027,https://doi.org/10.15139/S3/12165,,"Type: <b>Verification Statement</b> Notes: <br></br>This dataset underwent an independent verification process that replicated the tables and figures in the primary article. For the supplementary materials, verification was performed solely for the successful execution of code. The verification process was carried out by the Odum Institute for Research in Social Science at the University of North Carolina at Chapel Hill.;"
4257,https://hdl.handle.net/1902.29/D-30714,,"Subject: Study Level Error Note, Notes: Data were collected using the Random Digit Dialing telephone technique.; Universe: Survey of the New Jersey adult population, aged 18 and older.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
3894,https://hdl.handle.net/1902.29/CD-10935,,Type: ODUM:CODEBOOK.NUMBER Notes: 14-1-1990-SF3A-7-CD;Type: Uniform title Notes: Census of population and housing (1990). Summary tape file. 3A.;
2890,https://hdl.handle.net/1902.29/H-861010,,"Subject: Study Level Error Note, Notes: Survey was conducted among adult residents in Wisconsin. No additional information is available.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-861010;"
4690,https://hdl.handle.net/1902.29/D-20042,,"Subject: Study Level Error Note, Notes: Statewide telephone survey.; Universe: Adults aged 18 and over living in households with telephones within the state of Kentucky.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
2966,https://hdl.handle.net/1902.29/H-874025,,"Subject: Study Level Error Note, Notes: RDD telephone survey in Colorado.; Universe: Adults 18 years or older residing households in Colorado.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-874025;"
386,https://hdl.handle.net/1902.29/11766,,"Type: Technical Requirements - Notes: In order to view the HGIS, ArcMap must be used and the .MXD file, the .PNG file and all shapefiles must be downloaded.;"
3600,https://hdl.handle.net/1902.29/D-30464,,"Subject: Study Level Error Note, Notes: Telephone survey of adult North Carolinians (age 18+), using next-birthday method of respondent selection within a random sample of households.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
2158,https://hdl.handle.net/1902.29/D-20274,,"Subject: Study Level Error Note, Notes: Statewide telephone survey.; Universe: South Carolina adults age 18 or older.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
3098,https://hdl.handle.net/1902.29/H-912036,,"Subject: Study Level Error Note, Notes: Representative sample of all teachers in the public schools from K through grade 12 throughout the United States.; Telephone interviews.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-912036;"
3780,https://hdl.handle.net/1902.29/CD-0064,,"Subject: Study Level Error Note, Notes: Data has been gathered from multiple Federal Agencies;Type: ODUM:CODEBOOK.NUMBER Notes: 14-4-GICS-CD;"
1140,https://hdl.handle.net/1902.29/D-31654,,"Subject: Study Level Error Note, Notes: The data were collected by computer-assisted telephone interviews.; Arkansas residents age 18 or older.;Type: ODUM:ACCESS.CATEGORY Notes: II;"
4616,https://hdl.handle.net/1902.29/D-33467,,"Subject: Study Level Error Note, Notes: Telephone survey.; Universe: Ohio residents of voting age.;Subject: STANDARD DEPOSIT TERMS 1.0 Type: DATAPASS:TERMS:STANDARD:1.0 Notes: This study was deposited under the terms of the Data-PASS standard deposit terms. A copy of the usage agreement is included in the file section of this study.;"
2286,https://hdl.handle.net/1902.29/H-1380,,"Subject: Study Level Error Note, Notes: Harris obtained a cross-section sample of likely voters in the District of Columbia. Attitudes on various topics were collected by questionnaire in a face-to-face interview; Likely voters in the District of Columbia;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-1380;"
4756,https://hdl.handle.net/1902.29/D-31462,,"Subject: Study Level Error Note, Notes: The survey used a probability sample of adults residents of Lima, Peru;Type: ODUM:ACCESS.CATEGORY Notes: II;"
4422,https://hdl.handle.net/1902.29/D-31098,,"Subject: Study Level Error Note, Notes: Residents of Rhode Island 18 years of age or older with a telephone.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
3777,https://hdl.handle.net/1902.29/CD-0122,,"Subject: Study Level Error Note, Notes: Data are obtained from certificates filed for births occurring in each State. During 1968-71, data were obtained from a 50-percent sample of certificates. Starting in 1972, all records were included for States that participated in the Vital Statistics Cooperative Program (VSCP). Beginning in 1985, all States and the District of Columbia participated in VSCP.; All live births in the United States during calendar year 1984.;Type: ODUM:ACCESS.CATEGORY Notes: II;Type: ODUM:CODEBOOK.NUMBER Notes: 47-114-1984-CD;"
4645,https://hdl.handle.net/1902.29/D-33521,,"Subject: Study Level Error Note, Notes: Telephone survey.; Universe: Ohio residents.;Subject: STANDARD DEPOSIT TERMS 1.0 Type: DATAPASS:TERMS:STANDARD:1.0 Notes: This study was deposited under the terms of the Data-PASS standard deposit terms. A copy of the usage agreement is included in the file section of this study.;"
4166,https://hdl.handle.net/1902.29/D-30609,,"Subject: Study Level Error Note, Notes: Telephone survey using a two stage, random digit dialing procedure.; Residents of the state of Mississippi.;Type: ODUM:ACCESS.CATEGORY Notes: II;"
2606,https://hdl.handle.net/1902.29/H-339,,"Subject: Study Level Error Note, Notes: Harris obtained a cross-section sample of Indiana voters. Attitudes on various topics were collected by questionnaire in a face- to-face interview; Indiana voters;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-339;"
3256,https://hdl.handle.net/1902.29/H-961106,,"Subject: Study Level Error Note, Notes: National cross-section RRD telephone survey of Americans age 18 or older.;Type: ODUM:ACCESS.CATEGORY Notes: I;Type: ODUM:CODEBOOK.NUMBER Notes: H-961106;"
31071,https://doi.org/10.15139/S3/DV8QDG,,NA
5073,https://hdl.handle.net/1902.29/D-16167,,"Subject: Study Level Error Note, Notes: No specific information available.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
5041,https://hdl.handle.net/1902.29/D-16217,,"Subject: Study Level Error Note, Notes: No specific information available;Type: ODUM:ACCESS.CATEGORY Notes: I;"
4301,https://hdl.handle.net/1902.29/D-30786,,"Subject: Study Level Error Note, Notes: RDD telephone survey.; Universe: Representative cross-section of the California adult public.;Type: ODUM:ACCESS.CATEGORY Notes: I;"
845,https://hdl.handle.net/1902.29/11281,,Version Date: nullVersion Text: Deaths
