datasetVersionId,persistentUrl,persistent_id,title
4657,https://hdl.handle.net/1902.29/D-33535,,"Buckeye State Poll, May and June 2001 Franklin County"
4432,https://hdl.handle.net/1902.29/D-31103,,"The Rhode Island Survey, February 1995"
1872,https://hdl.handle.net/1902.29/D-17542,,La situacion del empleo y el desempleo en El Salvador
5310,https://hdl.handle.net/1902.29/11112,,Policies for Sharing Research Data in the Social Sciences and Humanities - Wave I
1617,https://hdl.handle.net/1902.29/10632,,Analisis Korelasi dan Regresi Sirkular
810,https://hdl.handle.net/1902.29/10318,,North Carolina Vital Statistics -- Divorces 1984
2107,https://hdl.handle.net/1902.29/10806,,Fall 2007 Georgia Poll
3568,https://hdl.handle.net/1902.29/CAPS-ADJCHKL,,Gough Adjective Checklist (CAPS-ADJCHKL module)
31131,https://doi.org/10.15139/S3/I3XOD9,,"Romantic Couples - Goals Diary Study, 2012"
31016,https://doi.org/10.15139/S3/AXP7QR,,Fetzer Institute Study of Newlyweds
4725,https://hdl.handle.net/1902.29/D-17297,,"Raleigh News and Observer Super Tuesday Poll, March 1988"
795,https://hdl.handle.net/1902.29/10297,,North Carolina Vital Statistics -- Marriages 1999
1762,https://hdl.handle.net/1902.29/10774,,2006 Service Academy Gender Relations Survey
2772,https://hdl.handle.net/1902.29/H-822032,,"Harris 1982 Public Opinion Survey, study no. 822032"
2692,https://hdl.handle.net/1902.29/H-792801,,"Harris 1979 Vietnam War Veterans Survey, study no. 792801"
3399,https://hdl.handle.net/1902.29/CAPS-LIFEEXP,,Life Experiences Survey (CAPS-LIFEEXP module)
3050,https://hdl.handle.net/1902.29/H-901202,,"Harris 1990 Business Week Drexel Burnham Lambert Bankruptcy Survey, study no. 901202"
4621,https://hdl.handle.net/1902.29/D-33473,,"Buckeye State Poll, November 1997"
1291,https://hdl.handle.net/1902.29/11843,,Tox21 Phase II qHTS data
3662,https://hdl.handle.net/1902.29/CD-0070,,Race and Hispanic or Latino Summary File
31561,https://doi.org/10.15139/S3/DTK8SR,,"Safer Streets for Everyone:  Vision Zero Anchorage (2018). Anchorage, Alaska."
25362,https://doi.org/10.15139/S3/12114,,Replication data for: A Partisan Model of Electoral Reform:  Voter Identification Laws and Confidence in State Elections
4286,https://hdl.handle.net/1902.29/AJC8912,,"Atlanta Journal-Constitution Cox Non-voter Poll, September 1988"
3382,https://hdl.handle.net/1902.29/CAPS-CONRELIG,,Conventional Religious Values Scale (CAPS-CONRELIG module)
935,https://hdl.handle.net/1902.29/11177,,"OPPERA Symptom Checklist 90-Revised (SCL-90R), Case-Control Study of Chronic TMD"
29315,https://doi.org/10.15139/S3/T7QAIR,,MLE Nigeria Data Documentation
4494,https://hdl.handle.net/1902.29/D-20260,,"Capstone Poll Omnibus Survey, Spring 1985"
1502,https://doi.org/10.15139/S3/12201,,"Monmouth University New Hampshire GOP Primary Poll, Number 88"
3641,https://hdl.handle.net/1902.29/D-30470,,"Carolina Poll, Fall 1986"
2944,https://hdl.handle.net/1902.29/H-871108,,"Harris 1987 End of the Year Survey, study no. 871108"
30864,https://doi.org/10.15139/S3/QJVAYU,,"Replication Data for: ""Economic Voting in Latin America: Rules and Responsibility"""
5051,https://hdl.handle.net/1902.29/D-16128,,"USA TODAY 1987 Health Poll, Study no. 3028"
4703,https://hdl.handle.net/1902.29/D-20056,,"Kentucky Poll, Spring 1989"
3881,https://hdl.handle.net/1902.29/CD-10921,,"1990 census of population and housing. Block statistics. East South Central division. Alabama, Kentucky, Mississippi, Tennessee"
3458,https://hdl.handle.net/1902.29/CAPS-NEO,,NEO-Personality Inventory (CAPS-NEO module)
5182,https://hdl.handle.net/1902.29/10696,,Russia PLACE Study 2005
4244,https://hdl.handle.net/1902.29/D-30700,,"Eagleton Poll, No. 73 (March 1989)"
5102,https://hdl.handle.net/1902.29/D-16258,,"USA TODAY Clarence Thomas Poll, Study no. 3253"
4549,https://hdl.handle.net/1902.29/D-33412-CONT1,,The UNC-Poynter 1996 National Election Study Part II
29324,https://doi.org/10.15139/S3/WYO3KU,,Death Row Last Statements Materials
31621,https://doi.org/10.15139/S3/WCLFWZ,,Ring et al. manuscript on Tox21 predictive modeling: supplemental files
3302,https://hdl.handle.net/1902.29/11634,,"Harris 2013 Public Opinion Survey, study no. 43567"
5205,https://hdl.handle.net/1902.29/10650,,Uganda DISH Study 1997
921,https://hdl.handle.net/1902.29/11170,,"OPPERA Eysenck Personality Questionnaire-Revised (EPQ-R), Case-Control Study of Chronic TMD"
1696,https://hdl.handle.net/1902.29/D-33409,,"Study of State Legislators, 1969, 1979, 1989"
5218,https://hdl.handle.net/1902.29/11301,,Uzbekistan PLACE Study 2003
3994,https://hdl.handle.net/1902.29/CD-11500,,"National Health and Nutrition Examination Survey, III, 1988-1994"
3298,https://hdl.handle.net/1902.29/H-37767,,"Harris 2010 Public Opinion Survey, study no. 37767"
593,https://hdl.handle.net/1902.29/11722,,Bangladesh Mayer Hashi (MH) Endline Study 2013 [RESTRICTED]
1814,https://hdl.handle.net/1902.29/D-1345,,"Columbia fertility survey, 1977"
5355,https://hdl.handle.net/1902.29/11889,,"OPPERA State-Trait Anxiety Inventory (STAI), Prospective Cohort Study of First-Onset TMD"
2283,https://hdl.handle.net/1902.29/H-P3735,,"Harris 1977 ABC News Presidential Survey, study no. P3735"
196,https://doi.org/10.15139/S3/11939,,"Chemical, Target, and Effect Tables"
31203,https://doi.org/10.15139/S3/BX0RZE,,Psychosocial and spatial analysis of LGBT tobacco use: Implementation of a probability-based targeted survey sampling design
1869,https://hdl.handle.net/1902.29/D-17538,,La religion para los Salvadorenos
3047,https://hdl.handle.net/1902.29/H-901108,,"Harris 1990 Public Opinion Survey, study no. 901108"
3116,https://hdl.handle.net/1902.29/H-913001,,"Harris 1991 Health Professionals Survey, study no. 913001"
5220,https://hdl.handle.net/1902.29/11397,,Zambia SBS 1998 [RESTRICTED]
1376,https://hdl.handle.net/1902.29/D-31256,,"Indiana Poll 27, May - June 1996"
2454,https://hdl.handle.net/1902.29/H-1866,,"Harris 1968 Community Leaders Air Travel Survey, study no. 1866"
3922,https://hdl.handle.net/1902.29/CD-10992,,"Natality Detail File, 1973"
1632,https://hdl.handle.net/1902.29/D-215,,Cross national five community participation study
2945,https://hdl.handle.net/1902.29/H-871202,,"Harris 1987 Business Week General Motors Survey, study no. 871202"
4956,https://hdl.handle.net/1902.29/D-16222,,"USA TODAY 1990 Charity Poll, Study no. 3222"
3558,https://hdl.handle.net/1902.29/CAPS-VALSUR,,Value Survey (CAPS-VALSUR module)
385,https://hdl.handle.net/1902.29/11757,,Vitamin D and the Risk for Hospital-Acquired Infections in Critically Ill
30915,https://doi.org/10.15139/S3/GKH2QD,,"CHAMPS De-identified Dataset, v3.0"
4154,https://hdl.handle.net/1902.29/D-30585,,"Raleigh News and Observer Statewide Poll, October 1994"
1231,https://hdl.handle.net/1902.29/11687,,"Cebu Household Follow-up Survey, 1994"
30719,https://doi.org/10.15139/S3/8UQM6X,,"Assessing how lesbian, gay, bisexual, and transgender community leaders think and communicate about health disparities"
3128,https://hdl.handle.net/1902.29/H-921106,,"Harris 1992 Public Opinion Survey, study no. 921106"
504,https://hdl.handle.net/1902.29/11222,,Zambia SBS 2009 [RESTRICTED]
2229,https://hdl.handle.net/1902.29/H-2324,,"Harris 1974 Financial Survey, study no. 2324"
5060,https://hdl.handle.net/1902.29/D-16152,,"USA TODAY 1988 Iran Poll, Study no. 3090"
4332,https://hdl.handle.net/1902.29/D-30911,,"Kentucky Health Survey, 1993"
2795,https://hdl.handle.net/1902.29/H-828440,,"Harris 1998 Physicians and Multiple Sclerosis Survey, study no. 828440"
26461,https://doi.org/10.15139/S3/X7RCDF,,[25] Timeline Followback (data for Elizabeth Cox's PhD dissertation)
4686,https://hdl.handle.net/1902.29/D-20038,,"Kentucky Poll, Spring 1980"
2232,https://hdl.handle.net/1902.29/H-2330,,"Harris 1973 Low Cost Housing Survey, study no. 2330"
29368,https://doi.org/10.15139/S3/ZQINV7,,"Monmouth University National Poll, Number 126"
