persistent_id,persistentUrl,dataverse_name,dataverse_alias,publication_date
doi:10.15139/S3/JULDDT,https://doi.org/10.15139/S3/JULDDT,COVID-19 pandemic and cancellation of childbearing plan in Bangladesh,Coronavirus_impact_fertility-intention_Bangladesh,2021-04-12T12:05:54Z
doi:10.15139/S3/IVDJPS,https://doi.org/10.15139/S3/IVDJPS,Monmouth Polling Institute Dataverse,mupolling,2021-04-01T17:12:51Z
doi:10.15139/S3/GCQAAI,https://doi.org/10.15139/S3/GCQAAI,Monmouth Polling Institute Dataverse,mupolling,2021-04-01T16:48:30Z
doi:10.15139/S3/QOQFWY,https://doi.org/10.15139/S3/QOQFWY,Monmouth Polling Institute Dataverse,mupolling,2021-04-01T16:35:09Z
doi:10.15139/S3/84SGKO,https://doi.org/10.15139/S3/84SGKO,Emory Dataverse,Emory,2021-03-29T14:45:14Z
doi:10.15139/S3/36MVPN,https://doi.org/10.15139/S3/36MVPN,Monmouth Polling Institute Dataverse,mupolling,2021-03-26T19:17:40Z
doi:10.15139/S3/GIXLG3,https://doi.org/10.15139/S3/GIXLG3,Monmouth Polling Institute Dataverse,mupolling,2021-03-26T18:52:27Z
doi:10.15139/S3/2MWHVA,https://doi.org/10.15139/S3/2MWHVA,Monmouth Polling Institute Dataverse,mupolling,2021-03-26T17:45:05Z
doi:10.15139/S3/6TEXFU,https://doi.org/10.15139/S3/6TEXFU,Monmouth Polling Institute Dataverse,mupolling,2021-03-26T15:59:51Z
doi:10.15139/S3/X33NIZ,https://doi.org/10.15139/S3/X33NIZ,Data for Impact (D4I),d4i,2021-03-22T12:59:32Z
doi:10.15139/S3/DJV7CR,https://doi.org/10.15139/S3/DJV7CR,Hazard Equivalency Dataverse,HE,2021-03-21T19:38:27Z
doi:10.15139/S3/1LAABO,https://doi.org/10.15139/S3/1LAABO,Vision Zero Plans,VZPlans,2021-03-19T20:10:04Z
doi:10.15139/S3/4C55AS,https://doi.org/10.15139/S3/4C55AS,Monmouth Polling Institute Dataverse,mupolling,2021-03-15T15:22:49Z
doi:10.15139/S3/6FOSHQ,https://doi.org/10.15139/S3/6FOSHQ,The Transfer Project Dataverse,ttp,2021-03-12T18:35:04Z
doi:10.15139/S3/OMLVZZ,https://doi.org/10.15139/S3/OMLVZZ,The Love Consortium Dataverse,love,2021-03-10T17:44:01Z
doi:10.15139/S3/RK81OD,https://doi.org/10.15139/S3/RK81OD,Md Mahfuzur Rahman Dataverse,analysis_datafiles,2021-03-09T12:39:45Z
doi:10.15139/S3/SRHKPQ,https://doi.org/10.15139/S3/SRHKPQ,Monmouth Polling Institute Dataverse,mupolling,2021-03-08T21:00:18Z
doi:10.15139/S3/LSPT1G,https://doi.org/10.15139/S3/LSPT1G,Monmouth Polling Institute Dataverse,mupolling,2021-03-08T20:52:46Z
doi:10.15139/S3/ZYTAVQ,https://doi.org/10.15139/S3/ZYTAVQ,Vision Zero Plans,VZPlans,2021-03-08T20:47:31Z
hdl:1902.29/11739,https://hdl.handle.net/1902.29/11739,Russia Longitudinal Monitoring Survey Dataverse,rlms-hse,2021-03-03T03:26:14Z
doi:10.15139/S3/SVMGNK,https://doi.org/10.15139/S3/SVMGNK,University of North Carolina at Charlotte Library Data Collection Dataverse,UNCCdata,2021-03-02T17:00:52Z
doi:10.15139/S3/4QUN5B,https://doi.org/10.15139/S3/4QUN5B,State Politics & Policy Quarterly Dataverse,sppq,2021-03-02T15:45:36Z
doi:10.15139/S3/1SRKDN,https://doi.org/10.15139/S3/1SRKDN,"PM2.5 Datasets for ""Estimating the Acute Health Impacts of Fire-Originated PM2.5 Exposure during the 2017 California Wildfires: Sensitivity to Choices of Inputs""",pm25_wildfire_risk_assessment,2021-03-02T14:14:23Z
doi:10.15139/S3/GLW5LE,https://doi.org/10.15139/S3/GLW5LE,County_Classifiication_Core_Periphery,County_Classifiication_Core_Periphery,2021-02-26T12:19:57Z
doi:10.15139/S3/FRB2ZC,https://doi.org/10.15139/S3/FRB2ZC,ATL Science Festival,AtlSF,2021-02-25T20:58:41Z
doi:10.15139/S3/5RRLPZ,https://doi.org/10.15139/S3/5RRLPZ,Plan Integration for Resilience Scorecard,PIRS,2021-02-25T20:48:27Z
doi:10.15139/S3/LLU0OD,https://doi.org/10.15139/S3/LLU0OD,Resilience Dataverse,resilience,2021-02-24T01:34:59Z
doi:10.15139/S3/C4NO7E,https://doi.org/10.15139/S3/C4NO7E,North Carolina Flood Resilience Dataverse,NC,2021-02-22T03:03:03Z
doi:10.15139/S3/FCSKUN,https://doi.org/10.15139/S3/FCSKUN,State Politics & Policy Quarterly Dataverse,sppq,2021-02-19T15:51:23Z
doi:10.15139/S3/NFWPYJ,https://doi.org/10.15139/S3/NFWPYJ,Rainfall Modeling Dataverse,RM,2021-02-11T20:54:56Z
doi:10.15139/S3/9OQ7L6,https://doi.org/10.15139/S3/9OQ7L6,State Politics & Policy Quarterly Dataverse,sppq,2021-02-11T19:00:10Z
doi:10.15139/S3/N5OPXM,https://doi.org/10.15139/S3/N5OPXM,Society of American Archivists Dataverse,saa,2021-02-10T01:46:36Z
doi:10.15139/S3/3YCPWA,https://doi.org/10.15139/S3/3YCPWA,AMANI,amani,2021-02-02T21:47:02Z
doi:10.15139/S3/XUO3X9,https://doi.org/10.15139/S3/XUO3X9,UNC-SRP-Dataverse,UNCSRP,2021-02-01T14:44:11Z
doi:10.15139/S3/TJMGCG,https://doi.org/10.15139/S3/TJMGCG,The Love Consortium Dataverse,love,2021-01-29T21:35:43Z
doi:10.15139/S3/GSSFGK,https://doi.org/10.15139/S3/GSSFGK,The Love Consortium Dataverse,love,2021-01-27T19:08:51Z
doi:10.15139/S3/NGBRWL,https://doi.org/10.15139/S3/NGBRWL,Monmouth Polling Institute Dataverse,mupolling,2021-01-15T18:55:58Z
doi:10.15139/S3/ARIHMI,https://doi.org/10.15139/S3/ARIHMI,Monmouth Polling Institute Dataverse,mupolling,2021-01-15T18:33:33Z
doi:10.15139/S3/K4ELDN,https://doi.org/10.15139/S3/K4ELDN,Monmouth Polling Institute Dataverse,mupolling,2021-01-15T18:19:43Z
doi:10.15139/S3/PNR8PY,https://doi.org/10.15139/S3/PNR8PY,Monmouth Polling Institute Dataverse,mupolling,2021-01-15T17:20:15Z
doi:10.15139/S3/IQQ8YF,https://doi.org/10.15139/S3/IQQ8YF,Monmouth Polling Institute Dataverse,mupolling,2021-01-15T17:11:34Z
doi:10.15139/S3/NFOB7N,https://doi.org/10.15139/S3/NFOB7N,Monmouth Polling Institute Dataverse,mupolling,2021-01-15T16:26:25Z
doi:10.15139/S3/LR7GI9,https://doi.org/10.15139/S3/LR7GI9,Monmouth Polling Institute Dataverse,mupolling,2021-01-15T16:11:04Z
