persistentUrl,dataverseAlias,dataverseName
https://doi.org/10.15139/S3/JULDDT,Coronavirus_impact_fertility-intention_Bangladesh,COVID-19 pandemic and cancellation of childbearing plan in Bangladesh
https://doi.org/10.15139/S3/IVDJPS,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/GCQAAI,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/QOQFWY,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/84SGKO,Emory,Emory Dataverse
https://doi.org/10.15139/S3/36MVPN,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/GIXLG3,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/2MWHVA,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/6TEXFU,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/X33NIZ,d4i,Data for Impact (D4I)
https://doi.org/10.15139/S3/DJV7CR,HE,Hazard Equivalency Dataverse
https://doi.org/10.15139/S3/1LAABO,VZPlans,Vision Zero Plans
https://doi.org/10.15139/S3/4C55AS,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/6FOSHQ,ttp,The Transfer Project Dataverse
https://doi.org/10.15139/S3/OMLVZZ,love,The Love Consortium Dataverse
https://doi.org/10.15139/S3/RK81OD,analysis_datafiles,Md Mahfuzur Rahman Dataverse
https://doi.org/10.15139/S3/SRHKPQ,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/LSPT1G,mupolling,Monmouth Polling Institute Dataverse
https://doi.org/10.15139/S3/ZYTAVQ,VZPlans,Vision Zero Plans
https://hdl.handle.net/1902.29/11739,rlms-hse,Russia Longitudinal Monitoring Survey Dataverse
https://doi.org/10.15139/S3/SVMGNK,UNCCdata,University of North Carolina at Charlotte Library Data Collection Dataverse
https://doi.org/10.15139/S3/4QUN5B,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/1SRKDN,pm25_wildfire_risk_assessment,"PM2.5 Datasets for ""Estimating the Acute Health Impacts of Fire-Originated PM2.5 Exposure during the 2017 California Wildfires: Sensitivity to Choices of Inputs"""
https://doi.org/10.15139/S3/GLW5LE,County_Classifiication_Core_Periphery,County_Classifiication_Core_Periphery
https://doi.org/10.15139/S3/FRB2ZC,AtlSF,ATL Science Festival
https://doi.org/10.15139/S3/5RRLPZ,PIRS,Plan Integration for Resilience Scorecard
https://doi.org/10.15139/S3/LLU0OD,resilience,Resilience Dataverse
https://doi.org/10.15139/S3/C4NO7E,NC,North Carolina Flood Resilience Dataverse
https://doi.org/10.15139/S3/FCSKUN,sppq,State Politics & Policy Quarterly Dataverse
https://doi.org/10.15139/S3/NFWPYJ,RM,Rainfall Modeling Dataverse
