publisher,persistentUrl,majorVersionNumber,minorVersionNumber,versionCreateTime,license,termsOfUse,confidentialityDeclaration,specialPermissions,restrictions,citationRequirements,depositorRequirements,conditions,disclaimer
CROSSDA,https://doi.org/10.23669/JVNVNR,1,1,2021-07-19 13:23:04+00:00,CC0,CC0 Waiver,,,,"The citation for this study is:
Vlašiček, D., Pavlić, M., & Ivanec, D. (2019). The role of retrieval type and feedback in test-potentiated new learning [data file]. Zagreb: Croatian Data Archive. http://doi.org/10.23669/JVNVNR
",,,
DR-NTU (Data),https://doi.org/10.21979/N9/DHYM9H,1,0,2020-01-13 03:23:43+00:00,CC0,CC0 Waiver,,,"To download these audio files, researchers must give their name and current organizational affiliation (school, university, or equivalent organization). Recordings of voices must be treated with respect, and should not be presented in any context which might cause harm or embarrassment to the speaker. For example recordings should not be associated with assessments of racial prejudice, evaluations of likely criminality, sexual orientation, religious affiliation, or any other sensitive material. Recordings should not be paired with distressing or unpleasant stimuli in another sensory domain (e.g., unpleasant pictures, unpleasant smells). No individual should be identified as ‘bad at’ any aspect of the task. ","To cite this dataset:
Styles, Suzy J; Bin Mustaffa, M Asyraf, 2020, ""Laksa Corpus Audio Recordings"", https://doi.org/10.21979/N9/DHYM9H
<br>Where Usernames have been given, Usernames must be presented alongside any vocal samples used as illustrations of method or results. For example, named or listed in the credits of a documentary; named in a digital file published as supplementary material in a journal article; or listed in live demonstrations (e.g., Presentation at academic conferences, Public science lectures). 
Any derivatives incorporating audio from this dataset must contain the same usage terms.",,,
DR-NTU (Data),https://doi.org/10.21979/N9/OF5ZDK,1,0,2020-01-13 03:56:25+00:00,CC0,CC0 Waiver,,,"Researchers must give their name and current research affiliations (school, university, or equivalent research organization). Recordings of voices must be treated with respect, and should not be presented in any context which might cause harm or embarrassment to the speaker. For example recordings should not be associated with assessments of racial prejudice, evaluations of likely criminality, sexual orientation, religious affiliation, or any other sensitive material. Recordings should not be paired with distressing or unpleasant stimuli in another sensory domain (e.g., unpleasant pictures, unpleasant smells). No individual should be identified as ‘bad at’ any aspect of the task.","To cite this dataset: 
Styles, Suzy; Travers Kumar, Juanita; Kovic, Vanja, 2020, ""Leaf & Stone Corpus - Singapore 2020"", DR-NTU (Data). https://doi.org/10.21979/N9/OF5ZDK,
<br>Where Usernames have been given, Usernames must be presented alongside any vocal samples used as illustrations of method or results. For example, named or listed in the credits of a documentary; named in a digital file published as supplementary material in a journal article; or listed in live demonstrations (e.g., Presentation at academic conferences, Public science lectures). Any derivatives incorporating audio from this dataset must contain the same usage terms.
",,,
DaRUS,https://doi.org/10.18419/darus-1851,1,0,2021-05-14 18:02:49+00:00,CC BY,CC BY Waiver,,,,"See ""Related Publication"".",,"The code and software included under ""software/"" (ESPResSo as well as our additions and custom patches) in this dataset are licensed under the GPLv3.",
Dataverse,https://doi.org/10.48510/FK2/DUIKUT,1,0,2021-05-27 13:41:48+00:00,CC0,CC0 Waiver,,,,,,," If you use the published dataset or parts of it, always cite the source."
Dataverse,https://doi.org/10.48510/FK2/PZL9DW,1,1,2021-03-11 07:53:05+00:00,CC0,CC0 Waiver,,,,"If you use the published data or parts of it, always cite the source.",,,
DataverseNL,https://doi.org/10.34894/FUTGYT,2,0,2020-08-11 11:38:33+00:00,CC0,CC0 Waiver,,,Not available for commercial use.,Mention publication Habets et al 2020 when using data.,,Anonimyzed by changing patients' age in age ranges.,
DataverseNL,https://doi.org/10.34894/6L7NMC,1,0,2019-08-30 16:02:29+00:00,CC0,CC0 Waiver,,"free to share — copy and redistribute the material in any medium or format
free to adapt — remix, transform, and build upon the material for any purpose, even commercially","Attribution — You must give appropriate credit, provide a link to the license, and indicate if changes were made. You may do so in any reasonable manner, but not in any way that suggests the licensor endorses you or your use.","Frenken THM, Miki T, Kagami M, Van de Waal DM, Van Donk E, Rohrlack T, Gsell AS: The potential of zooplankton in constraining chytrid epidemics in phytoplankton hosts. Ecology",,,
DataverseNL,https://doi.org/10.34894/AXFRPB,1,2,2019-12-10 12:23:43+00:00,CC0,CC0 Waiver,,The data are available upon request through the Dataverse data repository. Interested researchers who want to know more about the dataset can send an email to w.janssens@vu.nl or b.kramer@cgiar.org. ,,"If active involvement of AIGHD/IFPRI researchers is desired for data analysis and/or interpretation, the Diaries team is open to discussing co-authorship. Otherwise, researchers are asked to appropriately reference the dataset and acknowledge the AIGHD, IFPRI and PharmAccess International for making available the data. ",,,
DataverseNL,https://doi.org/10.34894/Q0XNJS,1,0,2018-10-31 14:56:11+00:00,CC0,CC0 Waiver,,,,,,"The data, syntaxes, and reports of this project can be requested by contacting the projectleader, Petra Denig (p.denig@umcg.nl) ",
