publisher,persistentUrl,majorVersionNumber,minorVersionNumber,versionCreateTime,license,termsOfUse,confidentialityDeclaration,specialPermissions,restrictions,citationRequirements,depositorRequirements,conditions,disclaimer
Abacus Data Network,https://hdl.handle.net/11272.1/AB2/VKFFNG,1,0,2021-05-28 00:36:36+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548512,1,0,2020-09-05 19:01:18+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548518,1,0,2020-09-30 00:38:01+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548507,1,0,2020-08-22 19:43:21+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548600,1,0,2021-07-31 07:23:54+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548403,2,0,2020-05-21 08:46:04+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548386,4,0,2020-06-03 03:48:46+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548385,5,0,2020-06-03 03:45:00+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548384,2,1,2020-05-26 20:18:00+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548383,1,1,2020-04-21 22:08:22+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548371,1,1,2020-07-14 14:58:40+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548380,1,1,2020-05-14 17:41:47+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548381,1,7,2020-07-28 21:03:29+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548382,1,1,2020-06-04 20:08:20+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/10548468,1,1,2020-06-25 05:53:09+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/11154,1,5,2019-05-16 16:12:02+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/1303061,1,2,2019-05-16 16:08:45+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/1303062,1,4,2019-05-16 15:54:11+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/2188664,2,1,2019-05-13 19:34:12+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/2198058,1,4,2020-03-20 19:23:11+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/221660,1,6,2019-05-16 16:20:39+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/221663,1,3,2018-07-18 21:24:27+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/2223085,3,2,2020-03-20 20:59:02+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/246977,1,5,2018-07-18 21:19:09+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/246979,1,5,2019-05-16 16:18:15+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/246980,1,5,2019-05-16 16:28:26+00:00,,,,,,,,,
CIMMYT Research Data & Software Repository Network,https://hdl.handle.net/11529/280433,1,5,2019-05-16 16:30:49+00:00,,,,,,,,,
