publisher,count of datasets,count of datasets with license,count of datasets with license and ToU
Harvard Dataverse,44057,29323,394
UNC Dataverse,4537,644,131
Scholars Portal Dataverse,4096,2329,51
Portail Data INRAE,72010,55,6
Peking University Open Research Data Platform,320,314,6
DataverseNL,1865,764,4
DataverseNO,1081,1060,4
IISH Data Collection,256,207,3
openforestdata.pl,10116,25,2
DR-NTU (Data),776,749,2
UAL Dataverse,496,153,2
University of Virginia Dataverse,102,100,2
Fundação Oswaldo Cruz,18,2,2
Dataverse,12,12,2
DaRUS,918,154,1
e-cienciaDatos,542,16,1
International Potato Center,438,16,1
ICRISAT Dataverse,436,87,1
heiDATA,280,2,1
University of Manitoba,78,69,1
Open Data @ UCLouvain,62,61,1
UNIMI Dataverse,45,40,1
Jülich DATA,36,35,1
CROSSDA,8,3,1
RIN Dataverse,4017,3936,0
Abacus Data Network,2191,2,0
ADA Dataverse,1583,1,0
Göttingen Research Online / Data,1350,170,0
AUSSDA,1147,0,0
CIMMYT Research Data & Software Repository Network,756,7,0
data.sciencespo,320,0,0
MELDATA,270,0,0
Center for International Forestry Research (CIFOR),266,160,0
VTTI,155,45,0
DataSuds,129,3,0
Johns Hopkins University Data Archive,127,1,0
ACSS Dataverse,119,0,0
Qualitative Data Repository,115,14,0
Pontificia Universidad Católica del Perú,95,95,0
Social Sciences and Digital Humanities Archive – SODHA,70,0,0
Repositório de Dados da Universidade do Minho,67,66,0
UCLA Dataverse,67,44,0
NIOZ,64,54,0
Dartmouth Dataverse,45,44,0
ASU Library Research Data Repository,26,25,0
FIU Research Data Portal,25,11,0
Universidad del Rosario,23,6,0
Universidad de Chile,21,21,0
UNB,21,15,0
Université Gustave Eiffel,19,3,0
Repositorios da Rede Nacional de Ensino e Pesquisa,13,4,0
Repositório de Dados de Pesquisa UNIFESP Dataverse,11,11,0
Репозиторий открытых данных по русской литературе и фольклору,7,7,0
Repositório de Dados de Pesquisa da UFABC,6,6,0
Yale-NUS Dataverse,5,1,0
Dartmouth,4,4,0
