Count of persistentUrl,Column Labels,,,,,,
Row Labels,1,2,3,4,6,7,Grand Total
DataverseNL,1,1,2,,,,4
DataverseNO,1,3,,,,,4
DR-NTU (Data),,2,,,,,2
Harvard Dataverse,250,31,31,1,,,313
heiDATA,,1,,,,,1
ICRISAT Dataverse,1,,,,,,1
Peking University Open Research Data Platform,6,,,,,,6
Portail Data INRAE,4,,,,,,4
Scholars Portal Dataverse,25,15,2,,2,1,45
UNC Dataverse,112,1,1,,,1,115
University of Manitoba,1,,,,,,1
University of Virginia Dataverse,2,,,,,,2
Grand Total,403,54,36,1,2,2,498
